customer_age_class,region,count_previous_cancellations_0_18,basket_months_since_contract_start_date,basket_days_until_contract_end,basket_months_until_contract_end,basket_package_price_disc,basket_product_category,basket_package_price_list,internet_package_price_disc,internet_product_name,internet_diff_churn_months,internet_days_until_initial_contract_end,internet_months_since_contract_start_date,flag_churn
18 - 24,NRW,6,81,5,9,40.84789488878285,SD RECEIVER,86.65249124238338,87.06124987363314,1PLAY MAX,10,77,99,1
under 18,KBW,1,31,95,11,50.87315856866821,SPORTS,26.748861216329033,99.15694994805374,RED INTERNET & PHONE CABLE U,29,85,82,0
70 - 74,HSN,1,31,17,13,62.457257713565184,SPORTS,0.09565474156957299,49.231575797334926,INTERNET START HZ TV,4,19,66,0
55 - 59,HSN,3,72,45,17,32.95245443841974,HD RECEIVER,80.69496587002179,29.351291570654748,EAZY FLEX,32,52,60,0
30 - 34,NRW,5,65,34,0,76.06523233115145,SECURITY  PACK,38.67789138215171,81.89752164557477,2PLAY PREMIUM,11,22,8,0
55 - 59,HSN,7,52,61,16,82.59012218814036,GIGA TV,46.79820033297722,79.40590140161243,2PLAY PREMIUM,6,58,57,1
60 - 64,NRW,9,0,91,4,94.58882364063811,AVM POWERLINE 1260E,57.90170201237276,66.73855922500717,EAZY,25,73,81,1
45 - 49,HSN,4,29,12,5,40.4364135217011,HD MODUL,91.03067673617097,61.319280197942874,VF CABLEMAX FULL FLEX,21,56,0,1
55 - 59,NRW,7,56,100,6,55.026706016610106,3PLAY,93.28621250217124,82.33988850028327,3PLAY,10,88,89,0
under 18,NRW,3,1,86,10,71.09473547557154,ANALOG KABELANSCHLUSS,31.345888364304553,29.471686893083103,3PLAY SMART,14,64,50,0
25 - 29,KBW,0,25,96,16,75.97867242855826,SPORTS,29.83346229090884,49.173172784019556,1PLAY MAX,30,58,51,0
75 - 79,HSN,6,66,86,7,90.52443413703661,SECURITY  PACK,8.370835539415255,38.99098957856529,2PLAY JUMP,19,74,89,1
60 - 64,KBW,6,44,52,23,84.61761824189166,ANALOG KABELANSCHLUSS,32.12461347811454,87.78070519295196,3PLAY SMART,22,87,59,0
65 - 69,HSN,6,18,10,6,41.7185119539711,VERSTAERKER,75.88628759569532,24.911201276093887,GIGAZUHAUSE CABLEMAX EB,21,39,29,1
50 - 54,HSN,3,84,44,10,82.086261665568,BOOSTER STANDARD,60.69818583898752,53.391234986312,128KBIT,29,7,1,0
