customer_age_class,region,count_previous_cancellations_0_18,basket_months_since_contract_start_date,basket_days_until_contract_end,basket_months_until_contract_end,basket_package_price_disc,basket_product_category,basket_package_price_list,internet_package_price_disc,internet_product_name,internet_diff_churn_months,internet_days_until_initial_contract_end,internet_months_since_contract_start_date,flag_churn
18 - 24,NRW,9,36,74,7,71.62441742180187,DYNAMIC IP DUAL STACK,0.7884103508440377,97.622566345382,3PLAY + WUNSCHPAKET,21,51,2,1
35 - 39,NRW,4,48,52,10,2.706898477719011,BOOSTER STANDARD,37.267906982099554,88.97936564455402,INTERNET COMFORT,6,22,27,0
30 - 34,NRW,5,25,49,11,73.13973399998267,SD RECORDER,53.05372145627818,76.45619743577086,2PLAY COMFORT,30,37,19,0
55 - 59,NRW,2,67,91,18,76.69635054509254,DYNAMIC IP DUAL STACK,92.21114617671931,69.82484778182906,INTERNET COMFORT,14,35,15,0
75 - 79,NRW,1,35,51,4,0.9766435596283318,DIGITAL INTERNATIONAL,8.94945450329001,33.54981696758996,INTERNET,3,30,71,0
55 - 59,HSN,7,30,99,0,30.828616737698468,GIGA TV,40.59423219682837,14.768557820670736,VF RIP U-TREUE,12,7,29,1
25 - 29,NRW,0,29,18,1,23.286547108097988,2PLAY,2.4313199710157773,6.263600305980976,GIGAZUHAUSE CABLEMAX,30,88,35,0
40 - 44,HSN,12,33,34,8,50.34274279399526,TV START,34.26109843415903,24.190170420148483,VF RIP U-TREUE,33,88,97,0
55 - 59,KBW,10,18,51,7,95.37213806638319,HD MODUL,62.22310588397949,43.22814811812986,GIGAZUHAUSE CABLEMAX,28,15,48,1
35 - 39,KBW,10,17,30,2,55.78113008828718,UPLOAD OPTION,27.906794822859837,52.19962736299825,2PLAY FLY,12,10,49,1
45 - 49,KBW,9,93,53,0,9.746868872548987,HD OPTION,20.97499496556351,77.30835540548716,2PLAY FLY,5,19,80,1
50 - 54,NRW,4,84,58,11,62.167849075608814,INTERNATIONAL FLAT PLUS,11.570323332709364,95.8740923056593,3PLAY TREUE MODEM,14,77,56,1
25 - 29,KBW,5,2,43,23,86.302261666035,HD MODUL,57.714024402034184,11.732048038481102,VF CABLEMAX FULL FLEX,10,56,63,0
65 - 69,KBW,6,69,55,12,15.76322757366576,HD RECEIVER,69.5270005904686,10.700414019379156,3PLAY HD BOX,1,18,88,0
