customer_age_class,region,basket_package_price_disc,internet_package_price_disc,basket_days_until_contract_end,count_previous_cancellations_0_18,internet_product_name,flag_churn
60 - 64,NRW,25.15637319526747,46.21000916339976,238,0,VF RIP U-TREUE,1
55 - 59,HSN,46.66684818003349,45.98305565035417,32,0,RED INTERNET & PHONE CABLE U,0
75 - 79,KBW,42.314876295485014,2.4527841334160847,32,0,GIGAZUHAUSE KABEL,1
30 - 34,NRW,36.100965096867995,34.88419238368072,118,0,VF CABLEMAX,1
45 - 49,KBW,15.6987458327552,45.18438122419963,29,0,3PLAY FLY,1
65 - 69,NRW,40.292743412564334,45.08460582706019,29,0,GIGAZUHAUSE CABLEMAX,0
75 - 79,NRW,70.75398682162654,55.38506356815102,354,0,MMA,0
55 - 59,HSN,30.337240442753956,32.782707894512406,87,0,RED INTERNET & PHONE CABLE U,1
35 - 39,KBW,48.09578173106257,34.44494462246999,27,0,VF RIP U-TREUE,1
75 - 79,HSN,36.341860174341,43.520704024457466,545,0,RED INTERNET & PHONE CABLE U,0
45 - 49,HSN,16.61500003270721,46.531085556176556,28,0,2PLAY PLUS,0
70 - 74,NRW,39.52349058100038,34.86191565678463,350,2,TREUEPLUS BASIS,1
60 - 64,NRW,39.37297753326789,36.27979463805084,155,0,RED INTERNET & PHONE CABLE U,1
65 - 69,HSN,44.09561034060266,36.94715553826477,30,0,VF RIP U-TREUE,1
60 - 64,NRW,35.13529916460162,33.64472800553543,27,0,RED INTERNET & PHONE CABLE U,1
25 - 29,KBW,34.33469556305662,41.31329135847204,28,0,GIGAZUHAUSE TREUE C,1
35 - 39,HSN,36.244394808815464,46.21521128509653,437,0,3PLAY JUMP,0
65 - 69,KBW,27.032460361463702,46.4306635250764,138,0,2PLAY PLUS,1
40 - 44,NRW,-4.386449135365794,51.518670927345696,452,0,RED INTERNET & PHONE CABLE U,1
30 - 34,HSN,261.1426917589695,38.10568565913783,32,0,VF CABLEMAX,0
35 - 39,HSN,20.65345076235755,34.56920501717352,27,0,2PLAY TREUE,1
25 - 29,KBW,24.040920870920008,43.28878512922463,30,0,GIGAZUHAUSE TREUE B,1
80 and over,KBW,20.030558636464058,43.706742404964615,27,0,MMA,0
75 - 79,KBW,27.00747482391388,45.387290489056085,31,1,2PLAY PLUS,0
75 - 79,NRW,18.81962768619697,51.636068248811696,32,0,RED INTERNET & PHONE CABLE U,1
50 - 54,KBW,45.0925560948545,29.35074476501428,439,0,2PLAY PLUS,0
40 - 44,HSN,31.243942187342896,32.55753370547053,28,0,GIGAZUHAUSE KABEL,1
45 - 49,HSN,27.027704734926203,40.15725429754415,33,0,VF RIP U-TREUE,0
50 - 54,NRW,44.21651404675126,59.68359066461565,383,0,VF CABLEMAX,0
50 - 54,NRW,42.12031394122789,45.31796583186843,31,0,3PLAY JUMP,1
80 and over,HSN,34.17007546563131,46.30951750535421,30,0,RED INTERNET & PHONE CABLE U,0
40 - 44,KBW,19.20711482793623,11.13358374274285,214,0,GIGAZUHAUSE KABEL,1
80 and over,HSN,31.112624284583827,46.95514516693021,846,0,RED INTERNET & PHONE CABLE U,1
25 - 29,NRW,56.87427312931277,43.75886324780027,774,0,GIGAZUHAUSE TREUE C,0
35 - 39,KBW,47.53435430676612,32.36460496437184,251,0,RED INTERNET & PHONE CABLE U,1
65 - 69,NRW,173.08686400568203,34.51217028062287,32,0,3PLAY TREUE,0
30 - 34,HSN,40.95679664225946,41.347288012952404,34,0,RED INTERNET & PHONE CABLE U,1
50 - 54,NRW,-7.7443123396055356,32.95679014380807,148,4,3PLAY JUMP,1
25 - 29,NRW,69.0556467153006,93.45674913646356,550,0,3PLAY PLUS HRZ,1
55 - 59,NRW,31.139146917487835,48.50784340971239,28,0,INTERNET,0
40 - 44,KBW,41.79563594020027,42.65831334107928,28,0,VF RIP U-TREUE,1
45 - 49,KBW,32.52753865348491,37.707085201725725,34,0,GIGAZUHAUSE CABLEMAX,0
35 - 39,HSN,32.556719065200205,46.067793206790604,27,0,RED INTERNET & PHONE CABLE U,0
