customer_age_class,region,basket_package_price_disc,internet_package_price_disc,basket_days_until_contract_end,count_previous_cancellations_0_18,internet_product_name,flag_churn
18 - 24,NRW,37.81114297375044,80.4214912448034,10,5,EAZY FLEX,0
under 18,KBW,6.859588957084995,12.697845398391417,81,3,EAZY FLEX,0
70 - 74,HSN,43.02397339470879,86.05077083842924,92,0,2PLAY PLUS,0
55 - 59,HSN,0.14610601709043047,25.682806047454175,6,4,3PLAY COMFORT,0
30 - 34,NRW,13.478322122006059,40.5211314474012,29,0,3PLAY + PAY,0
55 - 59,HSN,25.629469707013786,8.205584480642148,46,9,RIP CABLE U TREUE,1
60 - 64,NRW,3.7622656661871035,14.331928376100201,23,6,GIGAZUHAUSE TREUE C,1
45 - 49,HSN,60.71429857742914,48.66623478735661,56,9,2PLAY FLY,1
55 - 59,NRW,89.8568815316863,0.17377125320254816,42,5,HSI HZ BOX ONLY,0
under 18,NRW,40.715715991638056,72.19243874746334,20,3,GIGAZUHAUSE KABEL,0
25 - 29,KBW,69.82542412938358,95.71449212019351,30,0,TREUEPLUS BASIS,1
75 - 79,HSN,11.803590181984303,16.323918835027172,97,4,MMA MB,1
60 - 64,KBW,93.56045785527381,9.227185159641005,48,2,GIGAZUHAUSE TREUE D,1
65 - 69,HSN,86.33016524976763,19.01735910382335,11,3,TREUEPLUS BASIS,0
50 - 54,HSN,86.77714131748377,6.1965628204242895,14,5,3PLAY HD BOX + ALLSTARS,1
50 - 54,HSN,95.41348150469543,73.70723761538609,41,2,INTERNET,1
18 - 24,KBW,96.9140658707583,74.4686098720797,40,3,GIGAZUHAUSE CABLEMAX,0
40 - 44,KBW,91.07225531015641,36.105096735236074,13,2,GIGAZUHAUSE TREUE B,0
35 - 39,KBW,95.84899012256591,85.6067233028287,62,9,2PLAY PREMIUM,1
65 - 69,HSN,27.636426384863622,76.69024052588036,56,2,INTERNET,0
60 - 64,NRW,68.99963535768207,1.74964610797127,87,5,INTERNET,1
60 - 64,HSN,83.49706264356352,42.455971926852456,21,7,GIGAZUHAUSE TREUE C,1
not available,HSN,95.51612134099805,79.22802867989314,98,9,2PLAY PREMIUM,0
50 - 54,NRW,21.125248779260207,89.29159704127612,35,6,HSI HZ BOX ONLY,1
35 - 39,HSN,85.04617256668793,69.53118589622481,8,2,INTERNET COMFORT,0
under 18,KBW,37.220232971163966,14.691304846388132,23,1,3PLAY VORTEIL,0
45 - 49,KBW,60.69113976110662,87.922481560326,100,2,RIP CABLE U TREUE,0
80 and over,KBW,34.78563346817219,52.03488485572022,46,7,3PLAY COMFORT,1
50 - 54,KBW,79.83914982009948,43.531483664186,94,2,2PLAY TREUE,0
45 - 49,NRW,2.7211185336259547,84.10629949159556,63,1,GIGAZUHAUSE CABLEMAX,0
75 - 79,KBW,40.50180486686019,23.818206741086545,56,6,RED INTERNET & PHONE CABLE U,1
55 - 59,HSN,36.13349950873328,67.2160721578036,75,4,3PLAY PREMIUM MTA,0
70 - 74,HSN,64.37025359223398,85.3758585203933,15,7,2PLAY JUMP,1
55 - 59,KBW,18.806406649217212,39.40604605896855,43,7,2PLAY PREMIUM,0
under 18,NRW,66.13927394286216,70.5826476643996,19,9,TREUEPLUS,0
not available,HSN,30.480371243556093,5.946813220013503,67,5,GIGAZUHAUSE TREUE D,1
70 - 74,NRW,1.1244630942981337,98.28311133028537,27,7,VF CABLEMAX,1
25 - 29,NRW,98.8563828997237,44.354362883994824,69,7,3PLAY,1
55 - 59,KBW,78.49500204494451,53.73097383890172,79,1,3PLAY PREMIUM HRZ,1
50 - 54,KBW,98.50618825418535,53.38426382512823,92,4,3PLAY PLUS MTA,1
35 - 39,HSN,94.88846490850754,72.1568804104354,72,5,3PLAY COMFORT,0
55 - 59,NRW,47.80799207594719,98.93623892441639,5,2,2PLAY PLUS,1
80 and over,NRW,29.836683541246288,46.43712289153839,96,3,3PLAY + HD BOX + PAY,0
55 - 59,KBW,89.42745556452873,42.90555404939549,16,4,2PLAY,0
55 - 59,NRW,1.990206410045603,52.775403279289144,25,6,GIGAZUHAUSE TREUE,1
not available,HSN,20.71847996556211,29.357954408928354,50,4,RED INTERNET & PHONE CABLE U,1
60 - 64,KBW,54.82883514643113,90.16556706703658,27,9,3PLAY + HD BOX + PAY,1
70 - 74,NRW,19.555884090876784,26.444292530979695,57,4,3PLAY HD BOX,1
35 - 39,NRW,37.82040194580265,64.11668951212401,27,0,2PLAY PLUS,0
45 - 49,KBW,59.40897628359938,14.072498269670186,67,4,GIGAZUHAUSE TREUE B,0
45 - 49,KBW,88.74326130541141,80.01102581081298,28,9,3PLAY + HD BOX + PAY,1
70 - 74,KBW,83.12697000672146,3.3640646723785417,72,6,3PLAY TREUE HRZ,0
40 - 44,NRW,78.82086097046913,3.457921351142146,84,7,2PLAY,1
75 - 79,KBW,60.80323729696957,40.65604911702223,4,4,GIGAZUHAUSE TREUE D,0
60 - 64,HSN,77.5970257759418,56.90317403849146,32,4,3PLAY SMART HRZ,1
55 - 59,NRW,16.30861891137566,28.662292367839505,4,4,3PLAY PLUS,0
not available,NRW,83.58591700217823,48.72353480253289,92,5,GIGAZUHAUSE TREUE B,1
30 - 34,KBW,30.721818217129393,27.95002416235387,64,3,3PLAY TREUE HRZ,1
25 - 29,NRW,16.744732201702263,0.037937566494683495,59,0,2PLAY PREMIUM,0
60 - 64,HSN,39.03487725537889,2.2934659910066157,74,3,3PLAY PREMIUM HRZ,1
18 - 24,HSN,9.420390322543648,85.38797055141264,96,2,GIGAZUHAUSE TREUE D,1
25 - 29,NRW,86.97230244863532,8.429327771641592,19,3,3PLAY PLUS HRZ,0
70 - 74,KBW,34.08511662670701,31.270065694870485,44,6,EAZY,0
70 - 74,KBW,15.773269184943285,63.02138809817662,77,7,HSI HZ BOX ONLY,1
75 - 79,HSN,91.33328691679802,20.347460753350568,10,1,3PLAY + PAY,0
under 18,NRW,10.082203983004046,1.2915732514112155,28,1,3PLAY VORTEIL,0
under 18,NRW,80.15782294147505,96.9476821895176,67,0,VF CABLEMAX,0
65 - 69,HSN,79.30156775407708,62.081748525322034,29,9,TELEFON HSI,0
50 - 54,HSN,87.05619021291857,32.48863854094877,74,6,3PLAY COMFORT,1
75 - 79,HSN,26.087925611736406,73.57786172159577,53,1,2PLAY PLUS,1
35 - 39,NRW,97.78867827042203,44.088494470545555,19,3,TREUEPLUS,1
75 - 79,HSN,44.604903042665754,8.481669927863056,77,2,3PLAY START,0
45 - 49,HSN,53.88486020571636,25.966338504496655,56,4,EAZY FLEX,0
40 - 44,KBW,23.943187095134455,91.93076266340319,67,1,INTERNET,1
40 - 44,HSN,87.09431828318394,1.9250446671258858,31,9,3PLAY VORTEIL,0
50 - 54,NRW,37.35269260501845,48.22873276447501,14,4,GIGAZUHAUSE TREUE D,1
35 - 39,NRW,94.29924416049899,70.58066229835363,30,9,3PLAY FLY,0
35 - 39,NRW,8.959383706079072,62.68289448956846,38,4,GIGAZUHAUSE CABLEMAX,1
60 - 64,HSN,61.93322453577381,67.11629500419163,20,5,2PLAY COMFORT,0
45 - 49,NRW,31.739866385993988,99.87785021554907,58,1,3PLAY PREMIUM HRZ,0
45 - 49,NRW,65.26354903886472,49.01525580812521,49,2,TELEFON HSI,1
55 - 59,HSN,97.64840320318017,66.45045890511354,17,4,1PLAY MAX,1
65 - 69,HSN,22.399792221321167,59.2903862799978,0,2,RED INTERNET & PHONE CABLE U,0
60 - 64,KBW,96.65652333485087,21.174187858525972,14,6,3PLAY COMFORT,1
30 - 34,KBW,6.753706330062281,92.22471906650391,28,5,3PLAY + PAY,0
not available,NRW,95.29647841879947,35.978572554253475,33,0,3PLAY PLUS HRZ,0
25 - 29,NRW,69.19908232928874,17.745764729425396,89,0,2PLAY TREUE,1
30 - 34,HSN,1.0169250961831855,81.99519887994781,97,5,3PLAY + HD BOX + PAY,1
70 - 74,NRW,74.05956468595615,19.7898626493067,80,1,VF RIP U-TREUE,1
not available,KBW,21.941710180772,67.633003941456,43,6,3PLAY START,1
55 - 59,HSN,73.78835966479296,13.713343409886159,31,7,VF RIP U-TREUE,1
under 18,KBW,34.04462647532065,26.390370300310938,21,1,2PLAY PLUS,1
18 - 24,NRW,95.84286583020845,90.43208457843933,95,5,3PLAY + HD BOX + PAY,1
45 - 49,KBW,59.91435150871259,29.894458683905366,73,5,HSI HZ BOX ONLY,0
40 - 44,NRW,72.77996084764365,26.548589760491225,63,6,3PLAY + HD BOX + PAY,0
75 - 79,NRW,19.69993790408561,68.95648406643029,37,7,GIGAZUHAUSE TREUE,0
30 - 34,KBW,66.51932831389537,1.8056617222705351,18,3,3PLAY + PAY,0
75 - 79,HSN,63.88701903924038,94.17850488616253,91,1,3PLAY TREUE GENRE,1
65 - 69,HSN,91.48228097533585,70.82582959632407,70,6,EAZY FLEX,1
75 - 79,HSN,10.646340451772252,25.710102653579924,97,6,3PLAY START,0
75 - 79,HSN,45.4571117452059,10.13216545577167,7,3,RED INTERNET & PHONE CABLE U,1
55 - 59,HSN,56.228873976788606,59.991886275357984,54,5,128KBIT,0
18 - 24,KBW,57.68670225476327,76.50067179479973,49,3,INTERNET PREMIUM,0
75 - 79,HSN,85.6209489712019,66.52272545243434,95,1,GIGAZUHAUSE CABLEMAX,1
75 - 79,HSN,25.988922344982868,36.699834289592616,33,7,3PLAY PLUS,1
50 - 54,KBW,40.052775779993176,34.55370230807922,6,0,EAZY FLEX,0
not available,KBW,17.28293284060478,95.72542635186072,32,1,3PLAY START,0
75 - 79,HSN,59.629909302174426,89.30231571142494,26,5,VF CABLEMAX,0
55 - 59,NRW,87.16477756597423,81.83613839670485,52,1,3PLAY PLUS MTA,1
40 - 44,HSN,47.74160877787112,87.41943980660062,89,6,3PLAY SMART,1
60 - 64,HSN,8.958918779965098,9.116737665083763,23,2,1PLAY,0
80 and over,KBW,18.58976586165635,0.1203636710447209,20,5,INTERNET PREMIUM,0
under 18,KBW,24.134888643607187,24.414162721672895,25,7,3PLAY TREUE HRZ,1
under 18,NRW,35.90959954297308,50.81434373140827,13,9,3PLAY,0
70 - 74,NRW,89.3089643261775,73.75732523632952,10,6,EAZY,0
35 - 39,KBW,34.51200936626125,73.1445711473044,13,5,MMA,1
under 18,NRW,4.316855051970981,13.658587009204625,10,1,3PLAY TREUE GENRE,1
45 - 49,NRW,31.98876645163259,36.62180622119771,98,5,HSI HZ BOX ONLY,0
55 - 59,HSN,75.09922501133742,71.65875684301301,57,1,1PLAY MAX,0
70 - 74,KBW,18.857906164976377,3.171620994815705,45,6,3PLAY PREMIUM HRZ,0
under 18,NRW,50.45014695465194,65.02740701976283,30,5,3PLAY FLY,0
not available,HSN,59.797561585344305,40.48148225397918,85,5,2PLAY FLY,0
70 - 74,HSN,85.10071836237185,0.5909711037368037,45,0,VF RIP U-TREUE,0
35 - 39,KBW,87.97477960290202,15.56208602604049,35,4,2PLAY JUMP,0
25 - 29,KBW,29.690604390892638,73.13220153587635,68,5,3PLAY PLUS HRZ,0
75 - 79,KBW,91.24325687065364,55.55499748717823,13,3,3PLAY + PAY,0
25 - 29,NRW,76.46893214651173,87.05607420095699,51,3,3PLAY + HD BOX + PAY,1
70 - 74,NRW,33.932399287274464,26.779879087560776,3,1,1PLAY MAX,1
80 and over,KBW,87.22713429210071,13.753094099263329,60,5,2PLAY COMFORT,0
55 - 59,HSN,0.0032575454945504845,97.63646807081831,18,7,3PLAY TREUE GENRE,0
25 - 29,HSN,14.882048940564573,60.49114269398309,53,3,VF RIP U-TREUE,0
40 - 44,KBW,44.84836702069281,80.3058652640997,38,6,INTERNET,0
80 and over,NRW,9.276704855766626,79.33134553397662,5,2,3PLAY VORTEIL,1
70 - 74,KBW,11.615099204107192,47.142074655643086,60,2,3PLAY FLY,1
60 - 64,KBW,43.790332583659186,47.731014224641044,60,1,2PLAY,1
