customer_age_class,region,basket_package_price_disc,internet_package_price_disc,basket_days_until_contract_end,count_previous_cancellations_0_18,internet_product_name,flag_churn
65 - 69,KBW,64.93769999999994,52.481599999999986,321.58,0.12,3PLAY TREUE GENRE,0
35 - 39,HSN,45.249199999999966,44.97999999999996,42.196849261849266,0.2,RIP CABLE U TREUE,0
50 - 54,KBW,55.0302499999999,54.9799999999999,31.8145,0.0,TREUEPLUS,0
35 - 39,HSN,209.5564,205.69920000000005,30.09,0.0,VF CABLEMAX,0
30 - 34,KBW,63.76009999999986,63.43969999999986,160.0648095238095,0.04,GIGAZUHAUSE KABEL,0
40 - 44,HSN,47.52458333333328,44.56609999999998,48.98,0.0,RED INTERNET & PHONE CABLE U,0
45 - 49,HSN,36.94265341880334,34.989899999999885,88.60392857142858,0.01,RED INTERNET & PHONE CABLE U,0
55 - 59,HSN,80.8665999999999,57.81379999999993,30.0,0.0,3PLAY PLUS MTA,0
50 - 54,KBW,48.605666666666615,36.37809999999991,263.42,0.02,GIGAZUHAUSE TREUE D,0
30 - 34,KBW,0.7691,0.0,38.84,0.0,MMA MB,0
45 - 49,KBW,39.141700000000014,38.856800000000014,43.20745238095239,0.04,RED INTERNET & PHONE CABLE U,0
55 - 59,HSN,0.0,0.0,30.0,0.0,INTERNET START HZ TV,0
65 - 69,KBW,53.76569999999997,32.657499999999935,288.08,0.75,GIGAZUHAUSE TREUE C,0
55 - 59,KBW,39.649524033466534,32.213333333333274,59.07152777777778,0.0,RED INTERNET & PHONE CABLE U,0
45 - 49,KBW,25.35444999999997,25.569499999999966,186.07619047619045,0.03,GIGAZUHAUSE TREUE B,0
45 - 49,HSN,59.87599999999992,51.64009999999992,233.78,0.25,GIGAZUHAUSE TREUE B,0
40 - 44,KBW,38.91229942099566,32.98999999999992,30.171999999999997,0.0,VF RIP U-TREUE,0
40 - 44,KBW,67.76439499999987,54.88979999999985,29.941666666666666,0.0,INTERNET PREMIUM,0
55 - 59,KBW,56.123239999999996,38.568000000000005,220.71,0.0,GIGAZUHAUSE TREUE B,0
50 - 54,KBW,63.43489999999999,45.21969999999997,96.14,0.08,TREUEPLUS BASIS,0
60 - 64,KBW,56.491000000000014,36.51959999999992,436.72,0.02,TREUEPLUS BASIS,0
35 - 39,KBW,59.91994285714274,58.26029999999988,41.4,0.13,MMA MB,0
35 - 39,KBW,40.1895999999999,39.98999999999987,30.32347222222222,0.0,TELEFON HSI,0
45 - 49,KBW,39.01221588023085,34.989999999999874,30.0075,0.0,INTERNET START HZ TV,0
30 - 34,KBW,38.41120000000001,37.98970000000001,113.68666666666667,0.04279113384484228,INTERNET COMFORT,0
50 - 54,HSN,22.10629999999999,19.990000000000006,220.54,0.8,GIGAZUHAUSE CABLEMAX EB,0
45 - 49,KBW,55.90306666666656,54.9799999999999,38.92916666666667,0.0,GIGAZUHAUSE KABEL,0
35 - 39,KBW,56.23338122711241,44.97999999999989,39.83493847818848,0.0,TELEFON HSI,0
25 - 29,KBW,54.89009999999989,54.62999999999991,308.50399999999996,0.2,GIGAZUHAUSE KABEL,0
40 - 44,KBW,50.999400000000044,45.337100000000056,43.7,0.0,3PLAY COMFORT,0
40 - 44,KBW,45.508344668664655,34.98999999999988,88.60392857142858,0.0,RIP CABLE U TREUE,0
35 - 39,KBW,44.979999999999976,44.97999999999992,42.523035714285705,0.0,RIP CABLE U TREUE,0
45 - 49,KBW,51.71300833333327,42.36429999999992,97.59333333333332,0.07,TREUEPLUS,0
25 - 29,KBW,46.176543573874895,44.83019999999998,30.3,0.01,RIP CABLE U TREUE,0
45 - 49,KBW,29.236699999999946,25.58999999999996,101.48,1.32,TREUEPLUS,0
30 - 34,KBW,46.95601666666657,44.98999999999988,193.93011688311694,0.09,GIGAZUHAUSE KABEL,0
50 - 54,KBW,33.13994999999993,32.98999999999992,30.0,0.0,TELEFON HSI,0
75 - 79,KBW,28.082076666666694,27.800000000000026,30.0,0.0,GIGAZUHAUSE TREUE D,0
25 - 29,KBW,34.98999999999992,34.98999999999988,36.879339874237196,0.0,RED INTERNET & PHONE CABLE U,0
35 - 39,KBW,20.708800000000007,20.470000000000006,175.42,0.21,GIGAZUHAUSE TREUE B,0
45 - 49,KBW,32.989999999999924,32.989999999999924,346.2669523809524,0.05,GIGAZUHAUSE TREUE B,0
50 - 54,HSN,47.893147936507894,45.12979999999996,39.385,0.00625,RED INTERNET & PHONE CABLE U,0
60 - 64,KBW,67.86450999999991,46.37099999999996,66.33,0.0,RED INTERNET & PHONE CABLE U,0
30 - 34,HSN,34.969999999999914,34.98999999999992,202.53083333333333,0.51,GIGAZUHAUSE TREUE B,0
40 - 44,KBW,51.32959999999991,49.979999999999926,345.485,0.02,GIGAZUHAUSE CABLEMAX,0
30 - 34,KBW,45.31696354728894,44.98899999999993,43.71780555555555,0.07848697716982793,RIP CABLE U TREUE,0
25 - 29,KBW,44.10331181818176,43.969999999999935,33.528,0.04,TELEFON HSI,0
50 - 54,KBW,46.028866666666616,42.558899999999994,30.0,0.09633333333333334,GIGAZUHAUSE TREUE B,0
55 - 59,KBW,32.394899999999936,27.989999999999945,304.62,0.03,GIGAZUHAUSE TREUE B,0
45 - 49,KBW,50.47886666666655,50.04959999999987,20.382833333333334,0.04333333333333333,TELEFON HSI,0
30 - 34,KBW,11.980000000000013,11.980000000000011,30.0,0.0,EAZY,0
50 - 54,KBW,48.29987577755576,42.97999999999999,30.0,0.0,INTERNET PREMIUM,0
35 - 39,KBW,34.98999999999992,34.989999999999874,34.216466541417255,0.0,RIP CABLE U TREUE,0
40 - 44,KBW,59.054331666666705,49.96999999999997,31.04,0.0,TREUEPLUS,0
25 - 29,KBW,65.79289999999986,59.64939999999987,240.06466666666668,0.0,GIGAZUHAUSE KABEL,0
35 - 39,KBW,49.90909999999998,48.96999999999996,43.36086904761903,0.06,TREUEPLUS BASIS,0
35 - 39,KBW,45.15006785714284,44.979999999999876,62.29226085026087,0.0,RIP CABLE U TREUE,0
40 - 44,KBW,27.51666785714285,24.139599999999973,44.33,0.0,TREUEPLUS BASIS,0
40 - 44,KBW,35.904023812774234,34.989999999999874,39.73253586633335,0.0,RIP CABLE U TREUE,0
30 - 34,KBW,65.74736238095231,58.979999999999876,30.33,0.0,RED INTERNET & PHONE CABLE U,0
35 - 39,KBW,39.989999999999895,39.98999999999987,36.4894126169668,0.0,RED INTERNET & PHONE CABLE U,0
65 - 69,KBW,47.97788464285714,43.00493999999993,70.56,0.0,TREUEPLUS BASIS,0
60 - 64,KBW,54.99759999999993,41.054899999999925,559.89,0.04,GIGAZUHAUSE TREUE B,0
65 - 69,KBW,68.42649999999993,45.30819999999995,85.11766666666666,0.13,TREUEPLUS BASIS,0
45 - 49,KBW,45.14051666666664,37.7401,116.26666666666668,0.69,INTERNET COMFORT,0
40 - 44,KBW,39.989999999999895,39.98999999999987,30.0,0.0,RIP CABLE U TREUE,0
55 - 59,KBW,65.95005166666664,42.46549999999991,105.15,0.22,VF CABLEMAX,0
60 - 64,KBW,54.17098666666664,41.82401666666659,35.98,0.0,TREUEPLUS,0
45 - 49,HSN,39.980300000000014,39.533866666666675,30.0,0.0,MMA MB,0
45 - 49,KBW,63.56899999999998,45.01939999999997,64.41,0.04,VF CABLEMAX,0
75 - 79,KBW,61.53912000000002,40.969399999999915,30.0,0.0,3PLAY PREMIUM MTA,0
30 - 34,KBW,29.989999999999938,29.989999999999927,22.132421245421245,0.10159027960343746,VF CABLEMAX,0
30 - 34,KBW,43.52325261904758,39.98000000000001,109.27327489177489,0.11,TREUEPLUS BASIS,0
40 - 44,KBW,34.547831151416204,34.989999999999874,40.20937041033329,0.0,RED INTERNET & PHONE CABLE U,0
40 - 44,KBW,37.12857868409368,29.989999999999924,30.0,0.0,TREUEPLUS BASIS,0
35 - 39,NRW,24.989999999999963,24.98999999999996,30.0,0.0,INTERNET COMFORT,0
45 - 49,KBW,41.07521904135329,39.98999999999988,30.0,0.07913891010949835,RED INTERNET & PHONE CABLE U,0
40 - 44,KBW,61.90256083333329,54.98999999999985,29.152833333333334,0.0,HSI HZ BOX ONLY,0
40 - 44,KBW,41.05109999999998,31.90499999999993,542.1225,0.1,INTERNET,0
35 - 39,KBW,60.19929999999986,59.98999999999987,189.792,0.06,GIGAZUHAUSE KABEL,0
30 - 34,KBW,60.748699999999864,59.98999999999987,235.76,0.61,GIGAZUHAUSE KABEL,0
50 - 54,KBW,44.150499999999944,34.869499999999924,421.22,0.01,MMA MB,0
60 - 64,KBW,37.544112453102436,31.889999999999926,132.1,0.0,MMA MB,0
40 - 44,KBW,45.886681276374446,44.979999999999876,53.81541202270951,0.05392302646016132,TELEFON HSI,0
45 - 49,HSN,197.8578,189.82079999999985,29.82,0.0,MMA MB,0
35 - 39,KBW,48.767863489011,39.98999999999989,29.995833333333334,0.0,RED INTERNET & PHONE CABLE U,0
30 - 34,KBW,35.25269999999992,34.98999999999992,30.0,0.0007142857142857143,RIP CABLE U TREUE,0
35 - 39,HSN,51.709524999999964,44.71999999999997,60.17,0.26,TREUEPLUS BASIS,0
50 - 54,KBW,56.57860594877345,42.96999999999993,30.0,0.0,GIGAZUHAUSE TREUE D,0
65 - 69,HSN,74.35760000000013,44.38170000000001,53.68,0.0,GIGAZUHAUSE TREUE,0
50 - 54,KBW,52.467479999999966,48.095599999999976,30.0,0.0,3PLAY VORTEIL,0
50 - 54,KBW,51.68751563625099,42.97999999999999,30.0,0.0,RED INTERNET & PHONE CABLE U,0
70 - 74,KBW,35.19060666666665,27.585200000000004,372.4,0.01,GIGAZUHAUSE TREUE C,0
30 - 34,KBW,39.98000000000001,39.98,145.93203784528166,0.0,GIGAZUHAUSE TREUE,0
35 - 39,HSN,45.19201152153401,42.018571428571434,39.32841545954046,0.09,TREUEPLUS BASIS,0
55 - 59,KBW,69.09789999999995,50.987000000000045,30.0,0.0,3PLAY HD BOX,0
40 - 44,KBW,35.41924999999991,34.98999999999988,32.99310089665239,0.07,MMA MB,0
40 - 44,KBW,50.55441364357867,39.98999999999987,46.6976424963925,0.0,TELEFON HSI,0
30 - 34,KBW,53.294960714285736,46.75839999999997,32.67,0.006666666666666666,RED INTERNET & PHONE CABLE U,0
45 - 49,KBW,64.57941321428571,55.653499999999866,30.76,0.0,MMA MB,0
45 - 49,HSN,46.81900000000002,44.69079999999999,30.0,0.03,2PLAY TREU,0
50 - 54,KBW,44.76374999999999,38.873304285714305,30.89,0.0075,TREUEPLUS BASIS,0
30 - 34,KBW,48.96999999999996,48.96999999999996,45.04176587301586,0.013999999999999999,TREUEPLUS BASIS,0
35 - 39,KBW,30.144866666666598,29.98999999999993,30.77,0.0,INTERNET PREMIUM,0
30 - 34,KBW,34.98999999999992,34.98999999999992,196.38635497835494,0.01,GIGAZUHAUSE KABEL,0
55 - 59,KBW,65.49259999999998,45.50849999999997,75.91433333333333,0.08,TREUEPLUS BASIS,0
35 - 39,HSN,24.998799999999964,24.98999999999996,30.0,0.0,INTERNET COMFORT,0
40 - 44,KBW,48.64062901515149,39.98999999999988,29.73,0.0,TELEFON HSI,0
45 - 49,KBW,61.62974595238094,48.29629999999994,66.83,0.0,RIP CABLE U TREUE,0
65 - 69,KBW,39.34847714285712,31.281599999999965,68.52,0.0075,INTERNET START HZ TV,0
55 - 59,KBW,53.780914999999965,45.04959999999996,46.64,0.0,TREUEPLUS BASIS,0
30 - 34,KBW,30.049899999999933,29.98999999999993,30.0,0.0,TELEFON HSI,0
50 - 54,KBW,35.33959999999991,34.98999999999988,58.87903085315322,0.005,RED INTERNET & PHONE CABLE U,0
25 - 29,KBW,39.98000000000001,39.98,189.7080830999066,0.0,GIGAZUHAUSE KABEL,0
75 - 79,KBW,49.7421179220779,34.97899999999999,56.24,0.0,RIP CABLE U TREUE,0
60 - 64,KBW,45.834781190476214,37.78700000000004,120.98,0.0,MMA,0
50 - 54,HSN,34.07209999999995,25.699699999999964,486.57,0.04,GIGAZUHAUSE TREUE B,0
30 - 34,KBW,35.806463203463125,37.28335714285706,36.7645,0.08,VF RIP U-TREUE,0
