customer_age_class,region,count_previous_cancellations_0_18,basket_months_since_contract_start_date,basket_days_until_contract_end,basket_months_until_contract_end,basket_package_price_disc,basket_product_category,basket_package_price_list,internet_package_price_disc,internet_product_name,internet_diff_churn_months,internet_days_until_initial_contract_end,internet_months_since_contract_start_date,flag_churn
30 - 34,NRW,0,46,699,23,38.440000000,DIGITAL KABELANSCHLUSS,38.440000000,34.990000000,RED INTERNET UND PHONE 50 CABLE U,0,0,46,0
80 and over,NRW,0,200,30,0,69.960000000,N/A,69.960000000,44.970000000,VF RIP 100 U-TREUE,0,0,28,0
45 - 49,KBW,0,87,30,0,75.950000000,HD OPTION,75.950000000,44.980000000,VF CABLEMAX 500,0,0,53,1
55 - 59,NRW,0,114,30,0,43.950000000,3PLAY,43.950000000,43.950000000,3PLAY SMART 50,0,0,114,0
50 - 54,KBW,0,20,137,4,19.990000000,2PLAY,24.990000000,19.990000000,GIGAZUHAUSE 50 TREUE C,24,137,20,0
50 - 54,NRW,0,45,30,0,37.990000000,2PLAY,37.990000000,37.990000000,VF RIP 250 U-TREUE,0,0,45,0
35 - 39,NRW,1,16,245,8,44.990000000,N/A,49.990000000,49.990000000,GIGAZUHAUSE 500 KABEL,0,245,16,0
80 and over,NRW,0,83,30,0,39.990000000,3PLAY,39.990000000,39.990000000,3PLAY TREUE 100,0,0,83,0
45 - 49,NRW,0,28,30,0,39.980000000,2PLAY,44.980000000,39.980000000,RED INTERNET UND PHONE 500 CABLE U,0,0,28,0
65 - 69,NRW,0,26,30,0,54.980000000,VF PREMIUM,54.980000000,34.990000000,RED INTERNET & PHONE 50 CABLE U,0,0,26,0
35 - 39,NRW,0,113,30,0,57.950000000,HIGHLIGHTS,57.950000000,57.950000000,3PLAY PREMIUM 200,0,0,113,1
45 - 49,KBW,0,22,85,2,40.970000000,2PLAY,40.970000000,40.970000000,VF RIP 100 U-TREUE,0,85,22,1
25 - 29,NRW,0,19,611,20,49.960000000,SUPERWLAN,49.960000000,39.980000000,GIGAZUHAUSE 100 KABEL,0,171,19,1
55 - 59,KBW,0,55,30,0,51.980000000,SUPERWLAN,51.980000000,51.980000000,VF RIP 500 U-TREUE,0,0,40,1
45 - 49,KBW,0,47,30,0,54.960000000,2PLAY,54.960000000,54.960000000,RED INTERNET UND PHONE 100 CABLE U,0,0,47,1
55 - 59,KBW,0,40,30,0,38.980000000,2PLAY,38.980000000,38.980000000,RED INTERNET UND PHONE 50 CABLE U,0,0,40,0
35 - 39,NRW,0,24,30,0,24.990000000,N/A,34.990000000,34.990000000,RED INTERNET & PHONE 50 CABLE U,0,22,24,1
60 - 64,KBW,0,35,30,0,70.970000000,SUPERWLAN,70.970000000,49.980000000,TREUEPLUS 3PLAY 250,0,0,35,1
35 - 39,KBW,0,43,30,0,153.920000000,2PLAY,153.920000000,153.920000000,VF RIP 250 U-TREUE,0,0,43,0
40 - 44,NRW,0,48,30,0,29.990000000,SUPERWLAN,29.990000000,29.990000000,VF RIP 100 U-TREUE,0,0,48,0
25 - 29,NRW,0,70,30,0,49.990000000,2PLAY,49.990000000,49.990000000,RED INTERNET UND PHONE 500 CABLE U,0,0,70,0
25 - 29,NRW,0,22,73,2,44.980000000,2PLAY,44.980000000,44.980000000,VF CABLEMAX 1000,0,73,22,1
40 - 44,HSN,0,21,121,3,39.980000000,2PLAY,39.980000000,39.980000000,GIGAZUHAUSE 100 KABEL,0,121,21,0
45 - 49,NRW,0,36,30,0,52.990000000,2PLAY,52.990000000,52.990000000,RED INTERNET UND PHONE 1000 CABLE U,0,0,36,1
65 - 69,HSN,0,20,137,4,67.970000000,2PLAY,67.970000000,67.970000000,GIGAZUHAUSE 1000 KABEL,0,137,20,1
60 - 64,NRW,0,85,30,0,57.970000000,N/A,62.970000000,32.990000000,VF RIP 100 U-TREUE,0,0,51,1
25 - 29,NRW,0,52,30,0,44.980000000,SUPERWLAN,44.980000000,44.980000000,VF CABLEMAX 500,0,0,52,0
55 - 59,KBW,0,12,380,12,62.980000000,SUPERWLAN,62.980000000,62.980000000,GIGAZUHAUSE 1000 KABEL,0,380,12,0
25 - 29,NRW,0,52,30,0,39.990000000,N/A,39.990000000,39.990000000,VF RIP 250 U-TREUE,0,0,52,0
60 - 64,NRW,0,44,30,0,44.970000000,HD OPTION,49.970000000,34.980000000,VF RIP 100 U-TREUE,0,0,44,1
35 - 39,HSN,0,45,30,0,44.980000000,SUPERWLAN,44.980000000,44.980000000,RED INTERNET UND PHONE 250 CABLE U,0,0,45,0
60 - 64,KBW,0,71,30,0,60.980000000,DIGITAL KABELANSCHLUSS,60.980000000,39.990000000,RED INTERNET UND PHONE 250 CABLE U,0,0,71,0
70 - 74,NRW,0,38,30,0,44.980000000,2PLAY,44.980000000,44.980000000,RED INTERNET UND PHONE 100 CABLE U,0,0,38,1
50 - 54,HSN,3,50,30,0,47.970000000,BOOSTER STANDARD,47.970000000,44.980000000,VF CABLEMAX 1000,0,0,50,1
50 - 54,NRW,0,25,30,0,44.980000000,2PLAY,44.980000000,44.980000000,VF CABLEMAX 1000,0,0,25,1
30 - 34,NRW,0,50,30,0,54.990000000,2PLAY,54.990000000,54.990000000,RED INTERNET UND PHONE 1000 CABLE U,0,0,50,1
40 - 44,KBW,0,176,30,0,54.970000000,SUPERWLAN,54.970000000,44.980000000,VF CABLEMAX 1000,0,17,24,0
65 - 69,NRW,0,55,30,0,49.970000000,2PLAY,49.970000000,49.970000000,GIGAZUHAUSE 250 KABEL,0,0,55,1
60 - 64,NRW,0,73,30,0,59.980000000,DIGITAL KABELANSCHLUSS,69.980000000,39.990000000,RED INTERNET UND PHONE 250 CABLE U,0,0,73,0
45 - 49,KBW,0,43,30,0,39.990000000,N/A,39.990000000,39.990000000,RED INTERNET UND PHONE 100 CABLE U,0,0,43,1
55 - 59,KBW,0,20,122,4,39.980000000,SUPERWLAN,39.980000000,39.980000000,GIGAZUHAUSE 100 KABEL,0,122,20,1
35 - 39,HSN,0,41,30,0,37.990000000,SUPERWLAN,37.990000000,37.990000000,VF RIP 250 U-TREUE,0,0,41,0
30 - 34,NRW,0,19,170,5,39.980000000,SUPERWLAN,39.980000000,39.980000000,GIGAZUHAUSE 100 KABEL,0,170,19,1
25 - 29,KBW,0,113,30,0,29.990000000,1PLAY,29.990000000,29.990000000,1PLAY 30MBIT 4ALL,0,0,113,1
40 - 44,NRW,1,20,146,4,56.960000000,HD OPTION,64.960000000,52.970000000,GIGAZUHAUSE 1000 TREUE B,19,146,20,1
