region,cohort,flag_churn,customer_age_class,count_internet_previous_cancellations_0_18,basket_months_since_contract_start_date,count_transactions_Online,internet_product_name,internet_diff_churn_months,internet_all_outofcontract,calls_inbound_waiting_time_inqueue_0_6,calls_inbound_talk_time_0_6,count_calls_inbound_0_6,internet_months_since_contract_start_date,internet_months_until_contract_end,internet_days_until_initial_contract_end,campaign_dima_email_0_18,campaign_dima_service_0_18,campaign_dima_xsell_0_18,campaign_dima_0_18,contract_summaries_csconfirmed_0_3,basket_package_price_list,internet_package_price_list,internet_package_price_disc,basket_package_price_disc,internet_cons_package_price_list,basket_months_until_contract_end,basket_days_until_contract_end,non_internet_months_until_contract_end,non_internet_days_until_contract_end,internet_days_until_contract_end,non_internet_months_since_contract_start_date,count_previous_cancellations_0_18,basket_proportion_disc,internet_product_category,count_transactions_Commercial_Operations,basket_product_category,internet_down_speed,basket_days_until_next_promo_end,count_transactions_other,number_cust_at_lastamp_segment,number_cust_at_node_segment
NRW,2024-08-01,0,30 - 34,0,46,0,RED INTERNET UND PHONE 50 CABLE U,0,1,0,0,0,46,0,0,8,2,3,2,0,38.440000000,34.990000000,34.990000000,38.440000000,34.990000000,23,699,23,699,30,1,0,0E-9,2PLAY,1,DIGITAL KABELANSCHLUSS,50,0,0,110,262
NRW,2024-08-01,0,80 and over,0,200,0,VF RIP 100 U-TREUE,0,1,0,0,0,28,0,0,0,1,0,1,0,69.960000000,44.970000000,44.970000000,69.960000000,44.970000000,0,30,0,30,30,200,0,0E-9,2PLAY,0,N/A,100,0,0,22,513
KBW,2024-08-01,1,45 - 49,0,87,0,VF CABLEMAX 500,0,1,0,0,0,53,0,0,7,0,0,0,0,75.950000000,44.980000000,44.980000000,75.950000000,44.980000000,0,30,0,30,30,87,0,0E-9,2PLAY,2,HD OPTION,500,0,2,44,577
NRW,2024-08-01,0,55 - 59,0,114,3,3PLAY SMART 50,0,1,0,0,0,114,0,0,0,1,2,1,0,43.950000000,43.950000000,43.950000000,43.950000000,43.950000000,0,30,0,0,30,0,0,0E-9,3PLAY,0,3PLAY,50,0,1,172,215
KBW,2024-08-01,0,50 - 54,0,20,0,GIGAZUHAUSE 50 TREUE C,24,0,0,0,0,20,4,137,0,0,0,0,0,24.990000000,24.990000000,19.990000000,19.990000000,24.990000000,4,137,0,0,137,0,0,0.200000000,2PLAY,0,2PLAY,50,136,1,168,322
NRW,2024-08-01,0,50 - 54,0,45,0,VF RIP 250 U-TREUE,0,1,0,0,0,45,0,0,8,1,3,1,0,37.990000000,37.990000000,37.990000000,37.990000000,37.990000000,0,30,0,0,30,0,0,0E-9,2PLAY,0,2PLAY,250,0,0,270,483
NRW,2024-08-01,0,35 - 39,0,16,2,GIGAZUHAUSE 500 KABEL,0,0,0,0,0,16,8,245,5,0,0,0,0,49.990000000,49.990000000,49.990000000,44.990000000,49.990000000,8,245,0,30,245,16,1,0.100000000,2PLAY,1,N/A,500,244,0,52,412
NRW,2024-08-01,0,80 and over,0,83,2,3PLAY TREUE 100,0,1,0,0,0,83,0,0,0,1,0,1,0,39.990000000,39.990000000,39.990000000,39.990000000,39.990000000,0,30,0,0,30,0,0,0E-9,3PLAY,0,3PLAY,100,0,1,70,162
NRW,2024-08-01,0,45 - 49,0,28,1,RED INTERNET UND PHONE 500 CABLE U,0,1,0,0,0,28,0,0,6,1,0,1,0,44.980000000,44.980000000,39.980000000,39.980000000,44.980000000,0,30,0,0,30,0,0,0.110000000,2PLAY,1,2PLAY,500,1500,0,169,460
NRW,2024-08-01,0,65 - 69,0,26,0,RED INTERNET & PHONE 50 CABLE U,0,1,0,0,0,26,0,0,8,2,0,2,0,54.980000000,34.990000000,34.990000000,54.980000000,34.990000000,0,30,0,30,30,25,0,0E-9,2PLAY,0,VF PREMIUM,50,0,0,55,521
NRW,2024-08-01,1,35 - 39,0,113,0,3PLAY PREMIUM 200,0,1,0,0,0,113,0,0,9,1,3,2,0,57.950000000,57.950000000,57.950000000,57.950000000,57.950000000,0,30,0,30,30,113,0,0E-9,3PLAY,0,HIGHLIGHTS,200,0,0,0,0
KBW,2024-08-01,1,45 - 49,0,22,0,VF RIP 100 U-TREUE,0,0,0,0,0,22,2,85,4,2,4,2,0,40.970000000,40.970000000,40.970000000,40.970000000,40.970000000,2,85,0,0,85,0,0,0E-9,2PLAY,2,2PLAY,100,0,2,157,681
NRW,2024-08-01,1,25 - 29,0,19,4,GIGAZUHAUSE 100 KABEL,0,0,0,0,0,19,5,171,6,1,2,1,0,49.960000000,39.980000000,39.980000000,49.960000000,39.980000000,20,611,20,611,171,19,0,0E-9,2PLAY,2,SUPERWLAN,100,0,1,42,293
KBW,2024-08-01,1,55 - 59,0,55,0,VF RIP 500 U-TREUE,0,1,0,0,0,40,0,0,0,1,0,1,0,51.980000000,51.980000000,51.980000000,51.980000000,51.980000000,0,30,0,30,30,55,0,0E-9,2PLAY,1,SUPERWLAN,500,0,1,20,769
KBW,2024-08-01,1,45 - 49,0,47,0,RED INTERNET UND PHONE 100 CABLE U,0,1,0,0,0,47,0,0,8,2,1,2,0,54.960000000,54.960000000,54.960000000,54.960000000,54.960000000,0,30,0,0,30,0,0,0E-9,2PLAY,0,2PLAY,100,0,0,43,703
KBW,2024-08-01,0,55 - 59,0,40,0,RED INTERNET UND PHONE 50 CABLE U,0,1,0,0,0,40,0,0,9,2,3,2,0,38.980000000,38.980000000,38.980000000,38.980000000,38.980000000,0,30,0,0,30,0,0,0E-9,2PLAY,0,2PLAY,50,0,0,54,645
NRW,2024-08-01,1,35 - 39,0,24,0,RED INTERNET & PHONE 50 CABLE U,0,0,0,0,0,24,0,22,9,4,0,4,0,34.990000000,34.990000000,34.990000000,24.990000000,34.990000000,0,30,0,30,22,24,0,0.290000000,2PLAY,0,N/A,50,21,0,218,631
KBW,2024-08-01,1,60 - 64,0,35,0,TREUEPLUS 3PLAY 250,0,1,3,1091,1,35,0,0,6,0,1,0,0,70.970000000,49.980000000,49.980000000,70.970000000,49.980000000,0,30,0,30,30,35,0,0E-9,3PLAY,1,SUPERWLAN,250,0,0,67,404
KBW,2024-08-01,0,35 - 39,0,43,0,VF RIP 250 U-TREUE,0,1,0,0,0,43,0,0,6,1,0,1,0,153.920000000,153.920000000,153.920000000,153.920000000,153.920000000,0,30,0,0,30,0,0,0E-9,2PLAY,0,2PLAY,250,0,0,0,0
NRW,2024-08-01,0,40 - 44,0,48,0,VF RIP 100 U-TREUE,0,1,0,0,0,48,0,0,6,2,0,2,0,29.990000000,29.990000000,29.990000000,29.990000000,29.990000000,0,30,0,30,30,48,0,0E-9,2PLAY,1,SUPERWLAN,100,0,0,146,302
NRW,2024-08-01,0,25 - 29,0,70,0,RED INTERNET UND PHONE 500 CABLE U,0,1,0,0,0,70,0,0,2,2,0,2,0,49.990000000,49.990000000,49.990000000,49.990000000,49.990000000,0,30,0,0,30,0,0,0E-9,2PLAY,2,2PLAY,500,0,0,51,158
NRW,2024-08-01,1,25 - 29,0,22,1,VF CABLEMAX 1000,0,0,0,0,0,22,2,73,7,2,0,2,0,44.980000000,44.980000000,44.980000000,44.980000000,44.980000000,2,73,0,0,73,0,0,0E-9,2PLAY,3,2PLAY,1000,0,0,143,311
HSN,2024-08-01,0,40 - 44,0,21,3,GIGAZUHAUSE 100 KABEL,0,0,0,0,0,21,3,121,6,1,0,1,0,39.980000000,39.980000000,39.980000000,39.980000000,39.980000000,3,121,0,0,121,0,0,0E-9,2PLAY,2,2PLAY,100,0,1,0,0
