customer_age_class,region,basket_package_price_disc,internet_package_price_disc,basket_days_until_contract_end,count_previous_cancellations_0_18,internet_product_name,flag_churn
70 - 74,NRW,64.95,54.97,366,0,3PLAY PREMIUM HRZ,0
35 - 39,HSN,44.98,44.98,100,0,RED INTERNET & PHONE CABLE U,1
35 - 39,NRW,54.98,54.98,30,0,RED INTERNET & PHONE CABLE U,1
35 - 39,HSN,209.84,209.84,30,0,VF CABLEMAX,1
25 - 29,NRW,63.98,63.98,123,0,GIGAZUHAUSE KABEL,1
70 - 74,HSN,44.98,44.98,30,0,RED INTERNET & PHONE CABLE U,0
55 - 59,HSN,34.99,34.99,93,0,RED INTERNET & PHONE CABLE U,1
55 - 59,KBW,78.9,57.91,30,0,3PLAY PREMIUM,0
55 - 59,NRW,49.98,34.99,142,0,GIGAZUHAUSE TREUE C,0
35 - 39,NRW,0.0,0.0,30,0,MMA,1
75 - 79,NRW,38.98,38.98,30,0,RED INTERNET & PHONE CABLE U,1
under 18,HSN,0.0,0.0,30,0,MMA,0
65 - 69,NRW,59.97,29.99,298,1,GIGAZUHAUSE TREUE C,0
60 - 64,NRW,29.99,34.99,30,0,RED INTERNET & PHONE CABLE U,0
50 - 54,NRW,24.99,24.99,170,0,GIGAZUHAUSE TREUE B,1
45 - 49,HSN,54.98,54.98,151,0,GIGAZUHAUSE TREUE C,0
35 - 39,NRW,32.99,32.99,30,0,VF RIP U-TREUE,1
50 - 54,HSN,54.99,54.99,30,0,RED INTERNET & PHONE CABLE U,0
55 - 59,KBW,57.97,37.98,182,0,GIGAZUHAUSE TREUE B,0
60 - 64,NRW,69.96,44.98,98,0,VF CABLEMAX,0
70 - 74,NRW,57.96,37.99,652,0,VF RIP U-TREUE,0
40 - 44,KBW,58.98,58.98,45,0,RED INTERNET & PHONE CABLE U,1
45 - 49,HSN,39.99,39.99,30,0,RED INTERNET & PHONE CABLE U,1
45 - 49,NRW,34.99,34.99,30,0,RED INTERNET & PHONE CABLE U,0
30 - 34,KBW,37.98,37.98,30,0,GIGAZUHAUSE KABEL,1
50 - 54,HSN,19.99,19.99,191,1,GIGAZUHAUSE KABEL,0
55 - 59,KBW,54.98,54.98,30,0,GIGAZUHAUSE KABEL,1
55 - 59,NRW,44.98,44.98,30,0,VF CABLEMAX,0
18 - 24,NRW,54.98,54.98,375,0,GIGAZUHAUSE KABEL,0
65 - 69,NRW,45.38,45.38,30,0,3PLAY JUMP,0
55 - 59,HSN,34.99,34.99,30,0,RED INTERNET & PHONE CABLE U,1
18 - 24,KBW,44.98,44.98,30,0,RED INTERNET & PHONE CABLE U,1
40 - 44,NRW,50.98,43.97,81,0,VF CABLEMAX,1
25 - 29,KBW,54.97,44.98,30,0,RED INTERNET & PHONE CABLE U,1
55 - 59,NRW,24.99,24.99,122,2,VF RIP U-TREUE,0
30 - 34,KBW,44.99,44.99,396,0,GIGAZUHAUSE KABEL,1
30 - 34,KBW,32.99,32.99,30,0,VF RIP U-TREUE,0
80 and over,KBW,27.8,27.8,30,0,GIGAZUHAUSE KABEL,1
25 - 29,KBW,34.99,34.99,91,0,RED INTERNET & PHONE CABLE U,1
35 - 39,NRW,19.99,19.99,175,0,GIGAZUHAUSE TREUE C,0
50 - 54,NRW,32.99,32.99,339,0,GIGAZUHAUSE TREUE B,0
55 - 59,KBW,44.98,44.98,30,0,GIGAZUHAUSE KABEL,1
70 - 74,NRW,74.94,44.97,30,0,VF CABLEMAX,0
25 - 29,HSN,34.99,34.99,209,1,GIGAZUHAUSE KABEL,1
40 - 44,NRW,49.98,49.98,361,0,GIGAZUHAUSE CABLEMAX,0
25 - 29,NRW,44.98,44.98,30,2,RED INTERNET & PHONE CABLE U,1
25 - 29,KBW,43.97,43.97,30,0,VF CABLEMAX,1
35 - 39,NRW,42.98,42.98,30,0,2PLAY PLUS,1
65 - 69,NRW,27.99,27.99,233,0,GIGAZUHAUSE TREUE B,1
45 - 49,KBW,49.99,49.99,11,0,VF RIP U-TREUE,1
45 - 49,NRW,11.98,11.98,30,0,EAZY,1
35 - 39,NRW,42.98,42.98,30,0,VF RIP U-TREUE,0
35 - 39,KBW,34.99,34.99,30,0,RED INTERNET & PHONE CABLE U,1
25 - 29,NRW,49.97,49.97,30,0,VF CABLEMAX,0
25 - 29,KBW,59.99,59.99,310,0,GIGAZUHAUSE KABEL,1
30 - 34,KBW,48.97,48.97,78,0,VF CABLEMAX,0
18 - 24,KBW,44.98,44.98,30,0,VF CABLEMAX,1
35 - 39,NRW,21.99,24.99,30,0,VF RIP U-TREUE,0
25 - 29,NRW,34.99,34.99,30,0,RED INTERNET & PHONE CABLE U,1
30 - 34,KBW,58.98,58.98,30,0,RED INTERNET & PHONE CABLE U,1
25 - 29,HSN,39.99,39.99,30,0,RED INTERNET & PHONE CABLE U,1
75 - 79,KBW,54.97,29.99,30,0,VF RIP U-TREUE,0
65 - 69,NRW,55.95,40.97,698,0,GIGAZUHAUSE TREUE B,0
70 - 74,NRW,74.95,44.98,67,0,VF CABLEMAX,1
55 - 59,KBW,37.98,37.98,30,1,GIGAZUHAUSE TREUE D,1
45 - 49,NRW,39.99,39.99,30,0,RED INTERNET & PHONE CABLE U,0
60 - 64,NRW,69.97,39.99,61,0,VF CABLEMAX,1
60 - 64,KBW,63.33,42.97,30,0,VF RIP U-TREUE,0
70 - 74,NRW,39.98,39.98,30,0,RED INTERNET & PHONE CABLE U,0
45 - 49,KBW,64.97,44.98,69,0,VF CABLEMAX,1
80 and over,KBW,61.96,40.97,30,0,3PLAY SMART,0
30 - 34,NRW,29.99,29.99,30,1,VF RIP U-TREUE,1
35 - 39,NRW,39.98,39.98,91,0,VF CABLEMAX,1
30 - 34,NRW,34.99,34.99,30,0,RED INTERNET & PHONE CABLE U,1
45 - 49,NRW,29.99,29.99,30,0,VF RIP U-TREUE,1
25 - 29,NRW,24.99,24.99,30,0,INTERNET COMFORT,0
35 - 39,HSN,39.99,39.99,30,0,VF RIP U-TREUE,1
35 - 39,HSN,54.99,54.99,30,0,RED INTERNET & PHONE CABLE U,0
30 - 34,NRW,42.98,29.99,636,0,GIGAZUHAUSE TREUE C,0
40 - 44,NRW,59.99,59.99,241,0,GIGAZUHAUSE KABEL,1
30 - 34,NRW,59.99,59.99,234,1,GIGAZUHAUSE KABEL,0
60 - 64,KBW,44.97,34.99,442,0,RED INTERNET & PHONE CABLE U,1
75 - 79,KBW,24.99,34.99,30,0,RED INTERNET & PHONE CABLE U,0
