Original Data,Synthetic
3PLAY PREMIUM HRZ,VF
RED INTERNET & PHONE CABLE U,GIGAZUHAUSE
VF CABLEMAX,2PLAY
GIGAZUHAUSE KABEL,RED
3PLAY PREMIUM,EAZY
GIGAZUHAUSE TREUE C,3PLAY
MMA,VFORT
GIGAZUHAUSE TREUE B,INTERNET
VF RIP U-TREUE,3PLAY99
3PLAY JUMP,TREUE
GIGAZUHAUSE CABLEMAX,3PLAYART
2PLAY PLUS,
EAZY,
GIGAZUHAUSE TREUE D,
3PLAY SMART,
INTERNET COMFORT,
3PLAY TREUE,
3PLAY FLY,
INTERNET PREMIUM,
2PLAY,
EAZY FLEX,
1PLAY,
3PLAY TREUE HRZ,
3PLAY COMFORT,
VF CABLEMAX FULL FLEX,
3PLAY PLUS,
128KBIT,
TELEFON HSI,
3PLAY TREUE GENRE,
2PLAY TREUE,
INTERNET,
TREUEPLUS,
HSI HZ BOX ONLY,
2PLAY PREMIUM,
RIP CABLE U TREUE,
2PLAY JUMP,
3PLAY + PAY,
3PLAY,
3PLAY START,
GIGAZUHAUSE TREUE,
2PLAY FLY,
GIGAZUHAUSE CABLEMAX EB,
3PLAY HD BOX,
3PLAY PLUS MTA,
2PLAY START,
3PLAY PREMIUM MTA,
INTERNET START HZ TV,
2PLAY COMFORT,
2PLAY TREU,
3PLAY VORTEIL,
MMA MB,
1PLAY MAX,
3PLAY SMART HRZ,
3PLAY HD BOX + ALLSTARS,
3PLAY + HD BOX + PAY,
3PLAY TREUE MODEM,
3PLAY PLUS HRZ,
TREUEPLUS BASIS,
