customer_age_class,region,count_previous_cancellations_0_18,basket_months_since_contract_start_date,basket_days_until_contract_end,basket_months_until_contract_end,basket_package_price_disc,basket_product_category,basket_package_price_list,internet_package_price_disc,internet_product_name,internet_diff_churn_months,internet_days_until_initial_contract_end,internet_months_since_contract_start_date,flag_churn
70 - 74,NRW,0,120,366,12,64.950000000,HIGHLIGHTS,64.950000000,54.970000000,3PLAY PREMIUM HRZ,0,0,120,0
35 - 39,HSN,0,21,100,3,44.980000000,SUPERWLAN,44.980000000,44.980000000,RED INTERNET & PHONE CABLE U,0,100,21,1
35 - 39,NRW,0,25,30,0,54.980000000,2PLAY,54.980000000,54.980000000,RED INTERNET & PHONE CABLE U,0,0,25,1
35 - 39,HSN,0,47,30,0,209.840000000,N/A,209.840000000,209.840000000,VF CABLEMAX,0,0,47,1
25 - 29,NRW,0,20,123,4,63.980000000,2PLAY,63.980000000,63.980000000,GIGAZUHAUSE KABEL,0,123,20,1
70 - 74,HSN,0,50,30,0,44.980000000,SUPERWLAN,44.980000000,44.980000000,RED INTERNET & PHONE CABLE U,0,0,50,0
55 - 59,HSN,0,15,93,3,34.990000000,2PLAY,34.990000000,34.990000000,RED INTERNET & PHONE CABLE U,0,93,15,1
55 - 59,KBW,0,200,30,0,78.900000000,ANALOG KABELANSCHLUSS,78.900000000,57.910000000,3PLAY PREMIUM,0,0,97,0
55 - 59,NRW,0,20,142,4,49.980000000,HD OPTION,49.980000000,34.990000000,GIGAZUHAUSE TREUE C,23,142,20,0
35 - 39,NRW,0,19,30,0,0E-9,MMA ACTIVE,0E-9,0E-9,MMA,0,0,19,1
75 - 79,NRW,0,33,30,0,38.980000000,2PLAY,38.980000000,38.980000000,RED INTERNET & PHONE CABLE U,0,0,33,1
under 18,HSN,0,73,30,0,0E-9,1PLAY,0E-9,0E-9,MMA,0,0,73,0
65 - 69,NRW,1,15,298,9,59.970000000,SUPERWLAN,64.970000000,29.990000000,GIGAZUHAUSE TREUE C,0,295,15,0
60 - 64,NRW,0,30,30,0,29.990000000,VTV INTERNATIONAL,49.970000000,34.990000000,RED INTERNET & PHONE CABLE U,0,0,30,0
50 - 54,NRW,0,19,170,5,24.990000000,2PLAY,27.990000000,24.990000000,GIGAZUHAUSE TREUE B,0,170,19,1
45 - 49,HSN,0,20,151,4,54.980000000,2PLAY,54.980000000,54.980000000,GIGAZUHAUSE TREUE C,0,151,20,0
35 - 39,NRW,0,51,30,0,32.990000000,N/A,32.990000000,32.990000000,VF RIP U-TREUE,0,0,51,1
50 - 54,HSN,0,50,30,0,54.990000000,SUPERWLAN,54.990000000,54.990000000,RED INTERNET & PHONE CABLE U,0,0,50,0
55 - 59,KBW,0,19,182,5,57.970000000,HD OPTION,57.970000000,37.980000000,GIGAZUHAUSE TREUE B,0,182,19,0
60 - 64,NRW,0,35,98,3,69.960000000,HD OPTION,79.960000000,44.980000000,VF CABLEMAX,0,0,35,0
70 - 74,NRW,0,25,652,21,57.960000000,HD OPTION,62.960000000,37.990000000,VF RIP U-TREUE,0,0,25,0
