region,customer_age_class,basket_package_price_disc,internet_package_price_disc,basket_days_until_contract_end,count_previous_cancellations_0_18,internet_product_name,flag_churn
NRW,75 - 79,42.98,44.98,30.0,0.0,MMA MB,0.0
NRW,60 - 64,29.99,44.99,30.0,0.0,MMA MB,1.0
NRW,40 - 44,39.99,44.98,30.0,0.0,MMA MB,0.0
NRW,25 - 29,44.98,44.98,30.0,0.0,MMA MB,1.0
KBW,30 - 34,30.98,44.98,30.0,0.0,3PLAY START,1.0
HSN,55 - 59,49.97,49.98,30.0,0.0,3PLAY START,0.0
NRW,40 - 44,29.99,24.99,30.0,0.0,GIGAZUHAUSE KABEL,0.0
NRW,70 - 74,44.98,49.99,30.0,0.0,MMA MB,0.0
NRW,65 - 69,39.99,63.97,595.0,0.0,MMA MB,1.0
NRW,25 - 29,32.99,34.99,30.0,0.0,TREUEPLUS BASIS,0.0
NRW,60 - 64,44.98,54.98,30.0,0.0,3PLAY START,1.0
KBW,75 - 79,33.97,59.98,30.0,0.0,MMA MB,0.0
NRW,60 - 64,54.99,34.99,30.0,0.0,MMA MB,1.0
KBW,30 - 34,44.98,44.98,30.0,0.0,3PLAY TREUE MODEM,0.0
KBW,18 - 24,39.98,39.98,30.0,0.0,3PLAY START,0.0
KBW,35 - 39,44.98,34.98,30.0,0.0,TREUEPLUS BASIS,0.0
HSN,40 - 44,44.99,34.99,30.0,0.0,MMA MB,0.0
NRW,55 - 59,49.98,39.98,30.0,0.0,MMA MB,0.0
NRW,80 and over,39.99,34.99,30.0,0.0,3PLAY START,0.0
KBW,30 - 34,58.97,47.98,30.0,0.0,MMA MB,0.0
NRW,25 - 29,39.99,39.99,30.0,0.0,MMA MB,1.0
KBW,35 - 39,34.99,39.99,30.0,0.0,MMA MB,1.0
HSN,35 - 39,34.99,49.99,30.0,0.0,MMA MB,1.0
NRW,55 - 59,39.98,44.98,30.0,0.0,TREUEPLUS BASIS,1.0
NRW,35 - 39,34.99,34.99,30.0,0.0,3PLAY START,1.0
NRW,55 - 59,39.98,24.98,30.0,0.0,3PLAY START,0.0
HSN,25 - 29,44.98,34.99,30.0,0.0,MMA MB,1.0
KBW,25 - 29,49.99,54.99,30.0,0.0,3PLAY START,1.0
KBW,50 - 54,44.98,44.98,30.0,0.0,MMA MB,1.0
NRW,35 - 39,39.99,34.99,30.0,0.0,MMA MB,1.0
NRW,70 - 74,44.98,34.99,30.0,0.0,3PLAY TREUE MODEM,0.0
KBW,35 - 39,34.99,52.99,30.0,0.0,MMA MB,1.0
KBW,30 - 34,39.99,49.99,30.0,0.0,MMA MB,1.0
NRW,70 - 74,32.99,70.97,30.0,0.0,MMA MB,0.0
KBW,25 - 29,49.99,44.98,30.0,0.0,2PLAY FLY,0.0
KBW,35 - 39,54.97,58.98,30.0,0.0,MMA MB,0.0
NRW,60 - 64,44.98,44.98,30.0,0.0,MMA MB,0.0
NRW,30 - 34,43.98,37.98,30.0,0.0,3PLAY START,0.0
KBW,65 - 69,32.97,39.98,30.0,0.0,MMA MB,0.0
HSN,40 - 44,39.98,54.98,30.0,0.0,MMA MB,1.0
NRW,45 - 49,34.99,42.99,30.0,0.0,TREUEPLUS BASIS,1.0
KBW,65 - 69,44.98,44.98,30.0,0.0,3PLAY TREUE MODEM,0.0
