customer_age_class,region,basket_package_price_disc,internet_package_price_disc,basket_days_until_contract_end,count_previous_cancellations_0_18,internet_product_name,flag_churn
12,1,20.480222450051723,35.37795589653189,788,1,55,1
0,1,62.02997740410316,50.26572618751305,30,0,50,0
10,1,63.190534033650216,52.07093717702875,27,0,30,1
3,2,40.91375666252313,29.462634074985782,24,0,38,1
2,0,61.675387314203746,30.480653952304472,100,1,7,1
2,1,37.6493207554209,40.4989082682549,30,0,38,0
8,2,97.02127686907441,51.62484379935103,24,0,50,1
2,2,48.23608747929078,64.22598704585104,443,0,55,0
8,2,50.40931823059018,58.630904820549326,23,0,56,0
10,2,81.36238726102815,23.75805827554698,105,1,55,1
5,0,7.295613537405238,51.559182330276464,156,0,40,1
4,2,39.89853034482942,40.978919182650806,245,0,41,0
13,2,37.12417552227813,52.0826565713901,403,0,55,1
2,2,89.79549712326053,49.00381935635639,450,0,50,0
8,2,43.537059051403986,52.114785116417124,24,0,50,1
12,2,39.142173983238564,46.48321656216429,28,0,47,1
6,2,91.46417625824856,47.53272993880824,29,0,38,0
4,1,64.54561959310666,43.03087789349736,27,1,9,1
11,2,46.70172243470449,29.944111909605144,27,0,5,1
2,2,58.977449572595255,50.97758747468786,41,0,57,1
7,1,38.351913812801556,45.63448227694895,24,0,57,1
2,2,34.04333495213831,66.89250153103089,216,0,26,1
12,1,54.674148718774276,44.829602780478,26,0,38,1
0,2,74.29228212115063,63.985640415365324,27,0,12,0
9,0,46.08523930608341,55.726084645248854,30,0,53,1
9,1,60.428918880991915,50.910740607149165,28,0,57,0
0,0,14.069274660786363,39.14774609791499,310,0,57,1
5,0,73.20038029614577,54.283260064535156,26,0,57,1
4,2,88.21668398839421,64.9349668576269,27,0,22,1
12,2,37.442448977755056,51.97693482103903,27,0,55,0
1,0,25.298402379069667,50.92237140528788,87,0,50,0
4,1,43.67711717451375,52.124733400380066,78,0,50,0
6,0,25.45329959618327,27.190634807687697,115,0,57,1
7,1,35.244288590061814,45.812237848379176,-2,0,40,0
9,0,39.077783405000396,31.81287598241489,25,0,12,1
1,1,82.75709460327991,44.34984198281453,69,0,48,1
0,1,60.052699284697205,40.71238234347766,29,0,55,1
2,0,56.88528424212305,62.48426600921104,266,0,38,1
10,2,46.924993066864374,43.847367258189706,28,0,11,1
3,2,48.249860032134066,41.49515241974853,32,0,50,1
5,1,40.98731988109912,235.69591158041158,53,0,5,1
