,customer_age_class,region,basket_package_price_disc,internet_package_price_disc,basket_days_until_contract_end,count_previous_cancellations_0_18,internet_product_name,flag_churn
0,40 - 44,NRW,37.99,34.99,30.0,0.0,VF CABLEMAX,0.0
1,25 - 29,NRW,39.99,44.98,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
2,70 - 74,NRW,39.98,39.97,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
3,50 - 54,NRW,44.99,44.98,30.0,0.0,GIGAZUHAUSE KABEL,1.0
4,35 - 39,NRW,44.98,44.99,30.0,0.0,VF RIP U-TREUE,0.0
5,25 - 29,NRW,39.97,44.99,30.0,0.0,VF CABLEMAX,0.0
6,35 - 39,KBW,39.99,44.98,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
7,70 - 74,NRW,49.98,34.98,30.0,0.0,VF CABLEMAX,1.0
8,35 - 39,NRW,39.98,32.98,30.0,0.0,VF RIP U-TREUE,1.0
9,35 - 39,NRW,42.98,44.99,30.0,0.0,VF RIP U-TREUE,0.0
10,25 - 29,KBW,44.98,44.98,30.0,0.0,VF CABLEMAX,0.0
11,30 - 34,NRW,49.99,39.98,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
12,65 - 69,NRW,34.99,49.99,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
13,30 - 34,NRW,49.99,44.99,30.0,0.0,VF RIP U-TREUE,0.0
14,30 - 34,NRW,44.98,44.99,30.0,0.0,VF CABLEMAX,1.0
15,30 - 34,NRW,39.98,44.98,30.0,0.0,VF RIP U-TREUE,1.0
16,55 - 59,NRW,44.98,49.99,30.0,0.0,GIGAZUHAUSE KABEL,1.0
17,30 - 34,HSN,34.98,37.99,30.0,0.0,VF CABLEMAX,1.0
18,40 - 44,NRW,44.98,39.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
19,50 - 54,KBW,49.98,48.99,30.0,0.0,GIGAZUHAUSE KABEL,0.0
20,35 - 39,KBW,34.99,34.99,30.0,0.0,VF RIP U-TREUE,1.0
21,40 - 44,NRW,39.99,44.97,30.0,0.0,VF RIP U-TREUE,1.0
22,30 - 34,KBW,49.98,39.98,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
23,40 - 44,NRW,47.99,34.99,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
24,65 - 69,NRW,49.98,44.99,30.0,0.0,VF CABLEMAX,1.0
25,70 - 74,NRW,39.99,39.98,30.0,0.0,VF RIP U-TREUE,1.0
26,45 - 49,KBW,32.99,49.99,30.0,0.0,VF CABLEMAX,0.0
27,35 - 39,NRW,34.99,34.98,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
28,35 - 39,HSN,39.99,44.98,30.0,0.0,GIGAZUHAUSE TREUE C,0.0
29,50 - 54,NRW,44.99,34.97,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
30,50 - 54,KBW,39.99,49.99,30.0,0.0,GIGAZUHAUSE KABEL,0.0
31,65 - 69,KBW,44.97,39.99,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
32,35 - 39,NRW,34.98,34.99,30.0,0.0,VF CABLEMAX,1.0
33,40 - 44,KBW,34.99,39.99,30.0,0.0,VF RIP U-TREUE,1.0
34,25 - 29,NRW,39.99,44.99,30.0,0.0,VF RIP U-TREUE,0.0
35,25 - 29,NRW,43.98,44.99,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
36,50 - 54,HSN,44.98,44.98,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
37,25 - 29,NRW,49.98,39.99,30.0,0.0,VF CABLEMAX,0.0
38,35 - 39,NRW,44.97,39.97,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
39,30 - 34,KBW,29.99,39.97,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
40,55 - 59,NRW,54.98,39.99,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
41,35 - 39,NRW,44.99,44.99,30.0,0.0,GIGAZUHAUSE KABEL,1.0
42,40 - 44,NRW,39.98,29.98,30.0,0.0,VF RIP U-TREUE,1.0
