,customer_age_class,region,basket_package_price_disc,internet_package_price_disc,basket_days_until_contract_end,count_previous_cancellations_0_18,internet_product_name,flag_churn
0,60 - 64,KBW,39.99,37.99,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
1,35 - 39,NRW,49.97,44.98,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
2,60 - 64,KBW,37.97,37.97,30.0,0.0,VF CABLEMAX,0.0
3,25 - 29,HSN,37.98,29.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
4,40 - 44,KBW,44.98,44.98,30.0,0.0,VF CABLEMAX,0.0
5,55 - 59,KBW,44.98,39.99,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
6,40 - 44,KBW,39.99,39.99,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
7,80 and over,NRW,32.98,44.99,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
8,25 - 29,KBW,44.99,37.99,30.0,0.0,GIGAZUHAUSE KABEL,1.0
9,40 - 44,KBW,44.98,44.99,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
10,35 - 39,NRW,37.97,44.99,30.0,0.0,GIGAZUHAUSE KABEL,0.0
11,40 - 44,NRW,54.97,57.99,30.0,0.0,VF RIP U-TREUE,0.0
12,40 - 44,NRW,34.99,39.98,30.0,0.0,VF RIP U-TREUE,0.0
13,40 - 44,NRW,44.98,39.97,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
14,35 - 39,NRW,44.99,39.97,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
15,40 - 44,NRW,39.99,44.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
16,25 - 29,NRW,34.98,54.97,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
17,55 - 59,NRW,49.98,29.98,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
18,30 - 34,NRW,39.99,39.99,30.0,0.0,VF RIP U-TREUE,0.0
19,40 - 44,KBW,44.98,39.98,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
20,40 - 44,NRW,39.99,34.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
21,55 - 59,KBW,39.99,49.99,30.0,0.0,GIGAZUHAUSE KABEL,1.0
22,55 - 59,NRW,44.98,44.99,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
23,40 - 44,NRW,39.97,44.98,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
24,55 - 59,KBW,39.97,49.97,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
25,50 - 54,KBW,34.99,44.98,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
26,25 - 29,NRW,44.99,44.99,30.0,0.0,VF RIP U-TREUE,0.0
27,30 - 34,KBW,44.98,39.99,30.0,0.0,VF CABLEMAX,0.0
28,25 - 29,NRW,49.98,39.98,30.0,0.0,VF CABLEMAX,0.0
29,55 - 59,NRW,34.98,39.99,30.0,0.0,VF CABLEMAX,0.0
30,50 - 54,KBW,44.98,39.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
31,18 - 24,NRW,44.98,49.99,30.0,0.0,VF RIP U-TREUE,1.0
32,60 - 64,KBW,39.99,49.98,30.0,0.0,VF CABLEMAX,0.0
33,45 - 49,NRW,39.99,34.99,30.0,0.0,VF RIP U-TREUE,0.0
34,40 - 44,KBW,44.98,39.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
35,40 - 44,NRW,34.99,42.98,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
36,30 - 34,NRW,58.98,39.99,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
37,40 - 44,NRW,44.99,39.98,30.0,0.0,VF RIP U-TREUE,0.0
38,50 - 54,KBW,39.98,39.99,30.0,0.0,VF CABLEMAX,0.0
39,25 - 29,NRW,42.99,39.98,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
40,30 - 34,NRW,29.99,44.99,30.0,0.0,GIGAZUHAUSE KABEL,1.0
41,25 - 29,NRW,32.99,39.97,30.0,0.0,VF RIP U-TREUE,1.0
42,25 - 29,NRW,34.99,34.98,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
43,30 - 34,NRW,34.98,39.98,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
44,55 - 59,KBW,39.98,44.99,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
45,40 - 44,NRW,39.99,34.99,30.0,0.0,VF RIP U-TREUE,1.0
46,18 - 24,NRW,44.99,39.99,30.0,0.0,GIGAZUHAUSE KABEL,0.0
47,60 - 64,NRW,34.99,37.98,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
48,35 - 39,NRW,44.99,39.98,30.0,0.0,VF CABLEMAX,0.0
49,60 - 64,NRW,44.98,39.99,30.0,0.0,VF CABLEMAX,1.0
50,50 - 54,NRW,39.99,49.98,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
51,60 - 64,NRW,42.98,42.99,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
52,60 - 64,HSN,39.98,34.99,30.0,0.0,VF RIP U-TREUE,1.0
53,60 - 64,NRW,39.98,49.98,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
54,35 - 39,KBW,44.97,42.98,30.0,0.0,VF RIP U-TREUE,0.0
55,40 - 44,NRW,39.99,42.98,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
56,45 - 49,KBW,39.99,44.99,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
57,35 - 39,HSN,39.98,44.98,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
58,70 - 74,KBW,44.99,39.99,30.0,0.0,VF CABLEMAX,1.0
59,45 - 49,HSN,39.99,44.97,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
60,40 - 44,KBW,49.97,49.98,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
61,35 - 39,NRW,34.99,44.97,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
62,50 - 54,NRW,34.98,49.98,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
63,35 - 39,HSN,39.99,54.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
64,30 - 34,KBW,39.98,44.99,30.0,0.0,VF RIP U-TREUE,0.0
65,40 - 44,KBW,34.98,34.99,30.0,0.0,GIGAZUHAUSE KABEL,1.0
66,30 - 34,NRW,49.99,44.99,5.0,0.0,VF RIP U-TREUE,1.0
67,30 - 34,NRW,39.99,44.98,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
68,45 - 49,NRW,39.99,44.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
69,30 - 34,NRW,39.99,37.97,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
70,30 - 34,NRW,44.98,32.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
71,30 - 34,KBW,62.98,11.99,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
72,30 - 34,NRW,54.99,49.97,30.0,1.0,VF RIP U-TREUE,0.0
73,55 - 59,HSN,29.98,44.99,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
74,65 - 69,HSN,34.97,39.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
75,30 - 34,KBW,49.98,29.99,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
76,40 - 44,NRW,39.97,34.98,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
77,30 - 34,HSN,39.98,44.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
78,25 - 29,NRW,39.99,19.98,30.0,0.0,GIGAZUHAUSE KABEL,0.0
79,50 - 54,KBW,62.98,34.98,30.0,0.0,VF CABLEMAX,0.0
80,30 - 34,NRW,42.97,44.97,30.0,0.0,VF RIP U-TREUE,0.0
81,45 - 49,NRW,39.98,39.99,30.0,0.0,GIGAZUHAUSE KABEL,1.0
82,60 - 64,NRW,34.99,39.98,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
83,35 - 39,HSN,34.98,49.98,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
84,18 - 24,NRW,42.98,44.99,30.0,0.0,VF RIP U-TREUE,0.0
85,40 - 44,HSN,29.98,34.98,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
86,25 - 29,NRW,32.98,39.98,30.0,0.0,VF CABLEMAX,0.0
87,40 - 44,NRW,39.99,34.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
88,40 - 44,NRW,34.99,44.99,30.0,0.0,GIGAZUHAUSE TREUE B,1.0
89,35 - 39,KBW,39.99,34.98,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
90,55 - 59,KBW,39.99,34.97,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
91,65 - 69,HSN,29.99,44.98,30.0,0.0,VF CABLEMAX,0.0
92,25 - 29,HSN,49.97,32.98,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
93,30 - 34,HSN,44.99,49.97,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
94,25 - 29,NRW,34.98,44.97,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
95,45 - 49,KBW,39.99,44.98,30.0,0.0,VF CABLEMAX,0.0
96,45 - 49,NRW,39.99,39.98,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
97,25 - 29,NRW,29.99,29.98,30.0,0.0,GIGAZUHAUSE KABEL,1.0
98,25 - 29,HSN,39.98,44.99,30.0,0.0,VF CABLEMAX,1.0
99,35 - 39,NRW,49.99,49.98,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
100,40 - 44,KBW,39.98,44.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
101,35 - 39,HSN,29.98,39.97,30.0,0.0,VF RIP U-TREUE,0.0
102,60 - 64,HSN,63.99,49.99,30.0,0.0,GIGAZUHAUSE KABEL,0.0
103,35 - 39,NRW,39.98,34.99,30.0,0.0,VF RIP U-TREUE,1.0
104,60 - 64,NRW,44.98,39.98,30.0,0.0,GIGAZUHAUSE KABEL,1.0
105,35 - 39,KBW,34.98,44.98,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
106,25 - 29,NRW,44.98,44.98,30.0,0.0,VF CABLEMAX,0.0
107,50 - 54,NRW,44.97,34.98,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
108,35 - 39,KBW,39.99,59.98,30.0,0.0,VF RIP U-TREUE,1.0
109,35 - 39,NRW,49.98,34.99,30.0,0.0,GIGAZUHAUSE KABEL,1.0
110,40 - 44,NRW,49.98,39.98,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
111,55 - 59,NRW,39.98,44.98,6.0,0.0,VF CABLEMAX,0.0
112,25 - 29,KBW,54.99,34.98,30.0,0.0,VF RIP U-TREUE,1.0
113,35 - 39,KBW,34.96,44.98,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
114,40 - 44,KBW,52.99,44.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
115,25 - 29,NRW,39.98,44.99,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
116,30 - 34,KBW,39.98,29.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
117,60 - 64,HSN,44.99,39.98,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
118,35 - 39,NRW,34.98,44.99,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
119,35 - 39,KBW,44.97,39.99,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
120,30 - 34,KBW,39.99,34.99,30.0,0.0,VF RIP U-TREUE,1.0
121,30 - 34,NRW,44.99,39.99,30.0,0.0,VF CABLEMAX,1.0
122,40 - 44,KBW,39.98,42.99,30.0,0.0,VF RIP U-TREUE,0.0
123,25 - 29,NRW,44.99,44.98,30.0,0.0,VF CABLEMAX,1.0
124,25 - 29,NRW,34.98,63.98,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
125,25 - 29,NRW,44.98,39.99,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
126,35 - 39,NRW,34.99,39.99,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
127,30 - 34,NRW,39.98,44.98,30.0,0.0,GIGAZUHAUSE KABEL,0.0
128,40 - 44,KBW,39.99,44.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
129,35 - 39,NRW,44.99,44.99,30.0,0.0,VF RIP U-TREUE,0.0
130,60 - 64,NRW,44.98,44.98,30.0,0.0,VF CABLEMAX,1.0
131,40 - 44,KBW,29.98,49.99,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
132,50 - 54,NRW,34.99,34.99,30.0,0.0,VF RIP U-TREUE,0.0
133,55 - 59,KBW,44.98,44.99,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
134,55 - 59,KBW,34.98,44.99,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
135,55 - 59,HSN,44.98,49.99,30.0,0.0,GIGAZUHAUSE KABEL,0.0
136,40 - 44,NRW,54.99,49.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
137,45 - 49,KBW,39.99,39.99,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
138,40 - 44,KBW,34.99,34.99,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
139,35 - 39,KBW,29.97,44.98,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
140,45 - 49,NRW,49.99,39.99,30.0,0.0,VF RIP U-TREUE,0.0
141,25 - 29,KBW,44.99,39.97,30.0,0.0,GIGAZUHAUSE KABEL,1.0
142,30 - 34,NRW,34.98,49.98,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
143,35 - 39,NRW,39.99,39.98,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
144,40 - 44,NRW,32.98,32.98,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
145,80 and over,NRW,29.99,44.99,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
146,60 - 64,HSN,42.98,39.98,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
147,30 - 34,NRW,34.98,39.99,30.0,0.0,VF CABLEMAX,0.0
148,40 - 44,KBW,62.98,49.99,30.0,0.0,VF RIP U-TREUE,1.0
149,55 - 59,NRW,39.98,44.97,30.0,0.0,VF RIP U-TREUE,1.0
150,45 - 49,NRW,44.98,42.97,30.0,0.0,VF RIP U-TREUE,0.0
151,40 - 44,NRW,39.99,44.98,30.0,0.0,VF CABLEMAX,1.0
152,25 - 29,NRW,39.99,44.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
153,40 - 44,NRW,44.98,49.97,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
154,35 - 39,NRW,34.99,54.99,30.0,0.0,VF CABLEMAX,1.0
155,55 - 59,NRW,34.98,44.98,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
156,35 - 39,HSN,34.99,44.99,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
157,60 - 64,KBW,37.97,39.99,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
158,30 - 34,NRW,44.97,44.99,30.0,0.0,VF RIP U-TREUE,0.0
159,45 - 49,KBW,39.99,42.97,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
160,30 - 34,KBW,44.98,34.97,30.0,0.0,GIGAZUHAUSE KABEL,0.0
161,35 - 39,NRW,39.98,39.97,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
162,55 - 59,NRW,39.99,44.97,30.0,0.0,VF CABLEMAX,0.0
163,30 - 34,NRW,49.97,39.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
164,35 - 39,KBW,44.99,39.98,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
165,30 - 34,HSN,39.99,39.99,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
166,80 and over,KBW,39.99,29.99,30.0,0.0,VF CABLEMAX,1.0
167,30 - 34,NRW,29.99,39.99,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
168,50 - 54,KBW,39.98,39.99,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
169,35 - 39,NRW,32.99,34.99,30.0,0.0,VF RIP U-TREUE,1.0
170,35 - 39,NRW,44.98,44.99,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
171,40 - 44,NRW,39.99,34.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
172,60 - 64,NRW,34.97,44.98,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
173,40 - 44,HSN,39.99,34.98,30.0,0.0,VF RIP U-TREUE,0.0
174,35 - 39,NRW,39.98,34.98,30.0,0.0,GIGAZUHAUSE KABEL,0.0
175,45 - 49,HSN,44.98,32.98,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
176,60 - 64,KBW,49.98,44.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
177,45 - 49,NRW,39.99,44.99,30.0,0.0,VF RIP U-TREUE,0.0
178,65 - 69,KBW,34.99,54.99,30.0,0.0,VF RIP U-TREUE,1.0
179,60 - 64,HSN,44.99,34.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
180,25 - 29,NRW,49.99,37.99,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
181,55 - 59,KBW,29.99,44.99,30.0,0.0,VF RIP U-TREUE,1.0
182,65 - 69,NRW,44.98,44.99,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
183,35 - 39,HSN,49.99,34.99,30.0,0.0,GIGAZUHAUSE KABEL,0.0
184,40 - 44,KBW,44.98,44.98,30.0,0.0,VF CABLEMAX,0.0
185,25 - 29,KBW,44.99,34.99,30.0,0.0,VF RIP U-TREUE,1.0
186,25 - 29,KBW,39.98,39.98,30.0,0.0,VF RIP U-TREUE,1.0
187,35 - 39,KBW,44.99,44.98,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
188,25 - 29,NRW,44.98,54.98,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
189,40 - 44,HSN,34.98,32.99,30.0,0.0,VF RIP U-TREUE,1.0
190,30 - 34,HSN,39.98,32.98,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
191,30 - 34,NRW,34.99,39.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
192,40 - 44,HSN,49.99,44.98,30.0,0.0,VF RIP U-TREUE,0.0
193,35 - 39,HSN,54.98,39.99,30.0,0.0,VF CABLEMAX,0.0
194,25 - 29,HSN,49.97,34.97,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
195,35 - 39,KBW,39.98,39.99,30.0,0.0,VF CABLEMAX,0.0
196,55 - 59,NRW,44.98,29.98,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
197,30 - 34,NRW,54.98,44.98,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
198,40 - 44,NRW,39.98,34.98,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
199,35 - 39,NRW,44.99,49.98,30.0,0.0,VF RIP U-TREUE,1.0
200,35 - 39,HSN,29.97,39.98,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
201,30 - 34,HSN,34.99,49.98,30.0,0.0,VF RIP U-TREUE,0.0
202,35 - 39,NRW,49.99,39.98,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
203,30 - 34,KBW,34.98,39.99,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
204,45 - 49,KBW,39.98,37.97,30.0,0.0,VF CABLEMAX,0.0
205,45 - 49,NRW,44.98,44.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
206,35 - 39,HSN,39.98,39.97,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
207,60 - 64,KBW,44.98,44.98,30.0,0.0,VF RIP U-TREUE,0.0
208,40 - 44,NRW,34.97,58.99,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
209,30 - 34,NRW,39.98,32.98,30.0,0.0,VF RIP U-TREUE,0.0
210,18 - 24,KBW,39.99,34.98,30.0,0.0,VF RIP U-TREUE,1.0
211,35 - 39,KBW,44.99,39.99,59.0,0.0,RED INTERNET & PHONE CABLE U,0.0
212,40 - 44,KBW,44.98,39.98,30.0,0.0,GIGAZUHAUSE KABEL,1.0
213,40 - 44,NRW,44.99,37.98,30.0,0.0,GIGAZUHAUSE KABEL,1.0
214,50 - 54,KBW,34.99,34.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
215,40 - 44,KBW,39.99,49.97,30.0,0.0,VF CABLEMAX,1.0
216,35 - 39,NRW,39.99,49.99,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
217,50 - 54,KBW,35.99,44.98,30.0,0.0,VF RIP U-TREUE,0.0
218,60 - 64,KBW,44.98,44.98,30.0,0.0,GIGAZUHAUSE TREUE C,0.0
219,60 - 64,KBW,49.98,39.99,30.0,0.0,VF RIP U-TREUE,0.0
220,25 - 29,NRW,67.98,44.99,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
221,55 - 59,KBW,44.99,49.99,30.0,0.0,VF RIP U-TREUE,1.0
222,40 - 44,NRW,29.98,44.98,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
223,80 and over,KBW,29.99,37.99,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
224,55 - 59,NRW,42.98,44.97,30.0,0.0,VF RIP U-TREUE,0.0
225,40 - 44,KBW,39.99,54.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
226,45 - 49,HSN,34.99,29.99,30.0,0.0,GIGAZUHAUSE KABEL,0.0
227,30 - 34,KBW,54.98,54.99,30.0,0.0,VF RIP U-TREUE,0.0
228,35 - 39,KBW,39.98,54.99,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
229,35 - 39,NRW,39.99,34.98,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
230,40 - 44,NRW,24.99,34.99,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
231,25 - 29,NRW,39.99,29.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
232,55 - 59,NRW,42.97,34.98,30.0,0.0,VF RIP U-TREUE,0.0
233,25 - 29,NRW,39.99,29.99,30.0,0.0,VF CABLEMAX,0.0
234,25 - 29,HSN,39.99,39.98,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
235,40 - 44,KBW,39.98,54.99,30.0,0.0,VF CABLEMAX,0.0
236,60 - 64,NRW,44.99,49.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
237,40 - 44,NRW,29.85,34.99,30.0,0.0,GIGAZUHAUSE KABEL,0.0
238,35 - 39,NRW,34.98,39.98,30.0,0.0,GIGAZUHAUSE KABEL,0.0
239,60 - 64,KBW,39.98,49.98,30.0,0.0,VF RIP U-TREUE,1.0
240,60 - 64,NRW,34.98,44.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
241,50 - 54,NRW,34.96,44.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
242,35 - 39,KBW,29.97,39.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
