,region,customer_age_class,basket_package_price_disc,internet_package_price_disc,basket_days_until_contract_end,count_previous_cancellations_0_18,internet_product_name,flag_churn
0,KBW,60 - 64,29.99,29.99,30.0,0.0,VF RIP U-TREUE,1.0
1,NRW,35 - 39,49.99,49.99,30.0,1.0,GIGAZUHAUSE KABEL,0.0
2,HSN,45 - 49,49.97,39.98,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
3,NRW,65 - 69,37.99,37.99,30.0,0.0,VF RIP U-TREUE,1.0
4,KBW,60 - 64,44.98,44.98,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
5,KBW,30 - 34,39.99,39.99,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
6,HSN,25 - 29,38.98,38.98,30.0,0.0,GIGAZUHAUSE KABEL,0.0
7,HSN,40 - 44,32.99,32.99,30.0,0.0,GIGAZUHAUSE TREUE B,0.0
8,HSN,35 - 39,39.98,39.98,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
9,KBW,25 - 29,54.99,54.99,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
10,NRW,30 - 34,32.99,32.99,30.0,0.0,VF RIP U-TREUE,1.0
11,NRW,25 - 29,54.98,34.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
12,KBW,40 - 44,44.98,44.98,30.0,0.0,VF CABLEMAX,1.0
13,NRW,60 - 64,34.99,34.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
14,KBW,60 - 64,34.99,34.99,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
15,NRW,40 - 44,32.99,32.99,696.0,0.0,GIGAZUHAUSE TREUE B,1.0
16,NRW,65 - 69,27.99,27.99,364.0,0.0,GIGAZUHAUSE TREUE B,0.0
17,NRW,30 - 34,44.98,44.98,85.0,0.0,VF CABLEMAX,0.0
18,HSN,40 - 44,60.98,39.99,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
19,NRW,50 - 54,37.99,37.99,30.0,0.0,VF RIP U-TREUE,1.0
20,NRW,40 - 44,34.99,34.99,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
21,KBW,55 - 59,44.98,44.98,30.0,0.0,VF CABLEMAX,1.0
22,KBW,30 - 34,39.99,39.99,30.0,0.0,RED INTERNET & PHONE CABLE U,1.0
23,KBW,45 - 49,39.98,39.98,30.0,0.0,GIGAZUHAUSE KABEL,0.0
24,NRW,25 - 29,44.98,44.98,30.0,0.0,VF CABLEMAX,1.0
25,KBW,40 - 44,44.98,44.98,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
26,NRW,35 - 39,44.98,44.98,30.0,0.0,VF CABLEMAX,1.0
27,NRW,80 and over,34.99,34.99,30.0,0.0,RED INTERNET & PHONE CABLE U,0.0
28,NRW,65 - 69,56.42,43.42,30.0,0.0,3PLAY COMFORT,0.0
