region,customer_age_class,basket_package_price_disc,internet_package_price_disc,basket_days_until_contract_end,count_previous_cancellations_0_18,internet_product_name,flag_churn
KBW,40 - 44,42.98,42.98,30.0,0.0,VF RIP U-TREUE  ,1.0
NRW,35 - 39,39.98,39.98,30.0,0.0,RED INTERNET & PHONE CABLE U ,1.0
NRW,25 - 29,39.98,39.98,84.0,0.0,VF CABLEMAX     ,1.0
NRW,30 - 34,48.97,48.97,30.0,0.0,VF CABLEMAX     ,1.0
KBW,25 - 29,44.98,44.98,30.0,0.0,RED INTERNET & PHONE CABLE U ,0.0
KBW,70 - 74,34.99,34.99,30.0,0.0,RED INTERNET & PHONE CABLE U ,0.0
HSN,45 - 49,37.98,37.98,30.0,0.0,VF RIP U-TREUE  ,1.0
NRW,30 - 34,44.98,44.98,30.0,0.0,VF CABLEMAX     ,0.0
NRW,65 - 69,34.99,34.99,30.0,0.0,RED INTERNET & PHONE CABLE U ,1.0
NRW,60 - 64,49.97,49.97,30.0,0.0,RED INTERNET & PHONE CABLE U ,1.0
NRW,60 - 64,42.97,42.97,30.0,0.0,RED INTERNET & PHONE CABLE U ,1.0
KBW,40 - 44,44.98,44.98,30.0,0.0,RED INTERNET & PHONE CABLE U ,1.0
NRW,50 - 54,39.99,39.99,30.0,0.0,RED INTERNET & PHONE CABLE U ,1.0
NRW,40 - 44,42.97,42.97,30.0,0.0,RED INTERNET & PHONE CABLE U ,1.0
KBW,25 - 29,44.98,44.98,30.0,0.0,VF CABLEMAX     ,1.0
KBW,50 - 54,27.99,27.99,30.0,0.0,VF RIP U-TREUE  ,0.0
NRW,40 - 44,44.98,44.98,30.0,0.0,VF CABLEMAX     ,1.0
KBW,45 - 49,34.99,34.99,30.0,0.0,RED INTERNET & PHONE CABLE U ,1.0
KBW,45 - 49,47.97,47.97,30.0,0.0,VF CABLEMAX     ,1.0
NRW,40 - 44,43.98,43.98,30.0,0.0,RED INTERNET & PHONE CABLE U ,0.0
KBW,55 - 59,68.95,47.97,30.0,0.0,VF RIP U-TREUE  ,0.0
KBW,45 - 49,42.97,42.97,30.0,0.0,RED INTERNET & PHONE CABLE U ,1.0
NRW,40 - 44,44.98,44.98,30.0,0.0,VF CABLEMAX     ,0.0
NRW,70 - 74,39.98,39.98,30.0,0.0,RED INTERNET & PHONE CABLE U ,1.0
HSN,80 and over,0.0,0.0,30.0,0.0,MMA        ,0.0
NRW,35 - 39,39.99,39.99,30.0,0.0,RED INTERNET & PHONE CABLE U ,0.0
NRW,50 - 54,19.99,19.99,30.0,0.0,RED INTERNET & PHONE CABLE U ,0.0
NRW,75 - 79,42.98,42.98,30.0,0.0,VF RIP U-TREUE  ,0.0
HSN,40 - 44,49.97,49.97,30.0,0.0,VF CABLEMAX     ,0.0
KBW,55 - 59,74.96,49.99,30.0,0.0,VF RIP U-TREUE  ,0.0
KBW,40 - 44,54.99,54.99,30.0,0.0,RED INTERNET & PHONE CABLE U ,0.0
KBW,25 - 29,44.98,44.98,30.0,0.0,VF CABLEMAX     ,0.0
KBW,35 - 39,44.97,44.97,30.0,0.0,VF CABLEMAX     ,0.0
HSN,45 - 49,42.98,42.98,30.0,0.0,VF RIP U-TREUE  ,0.0
NRW,60 - 64,32.99,32.99,30.0,0.0,VF RIP U-TREUE  ,0.0
KBW,25 - 29,44.99,44.99,30.0,0.0,GIGAZUHAUSE KABEL ,1.0
KBW,30 - 34,39.98,39.98,365.0,0.0,GIGAZUHAUSE TREUE B ,1.0
