region,customer_age_class,basket_package_price_disc,internet_package_price_disc,basket_days_until_contract_end,count_previous_cancellations_0_18,internet_product_name,flag_churn
KBW,35 - 39,37.99,37.99,30.0,0.0,VF RIP U-TREUE  ,0.0
NRW,30 - 34,44.98,44.98,30.0,0.0,VF CABLEMAX     ,1.0
NRW,45 - 49,49.99,49.99,30.0,0.0,RED INTERNET & PHONE CABLE U ,0.0
NRW,65 - 69,39.98,39.98,30.0,0.0,RED INTERNET & PHONE CABLE U ,1.0
KBW,50 - 54,52.96,52.96,30.0,0.0,VF CABLEMAX     ,0.0
KBW,50 - 54,39.99,39.99,30.0,0.0,RED INTERNET & PHONE CABLE U ,0.0
HSN,50 - 54,43.98,43.98,30.0,0.0,RED INTERNET & PHONE CABLE U ,1.0
NRW,30 - 34,39.98,39.98,30.0,0.0,RED INTERNET & PHONE CABLE U ,1.0
NRW,30 - 34,32.99,32.99,30.0,0.0,VF RIP U-TREUE  ,1.0
NRW,50 - 54,44.98,44.98,30.0,0.0,RED INTERNET & PHONE CABLE U ,0.0
NRW,60 - 64,49.98,29.99,30.0,0.0,VF RIP U-TREUE  ,1.0
KBW,25 - 29,34.99,34.99,30.0,0.0,RED INTERNET & PHONE CABLE U ,1.0
NRW,55 - 59,44.98,44.98,30.0,0.0,VF CABLEMAX     ,1.0
NRW,35 - 39,54.99,54.99,30.0,0.0,RED INTERNET & PHONE CABLE U ,1.0
KBW,65 - 69,68.97,37.99,30.0,0.0,VF RIP U-TREUE  ,0.0
KBW,55 - 59,59.98,59.98,30.0,0.0,2PLAY PLUS       ,1.0
NRW,40 - 44,44.98,44.98,30.0,0.0,VF CABLEMAX     ,0.0
KBW,55 - 59,53.98,32.99,30.0,0.0,VF RIP U-TREUE  ,1.0
KBW,35 - 39,37.98,37.98,30.0,0.0,VF RIP U-TREUE  ,1.0
NRW,30 - 34,59.95,42.98,30.0,0.0,RED INTERNET & PHONE CABLE U ,0.0
KBW,55 - 59,24.99,24.99,30.0,0.0,INTERNET COMFORT     ,1.0
KBW,50 - 54,44.98,44.98,30.0,0.0,RED INTERNET & PHONE CABLE U ,1.0
NRW,18 - 24,34.99,34.99,30.0,0.0,RED INTERNET & PHONE CABLE U ,1.0
NRW,60 - 64,32.99,32.99,30.0,0.0,VF RIP U-TREUE  ,0.0
HSN,40 - 44,44.98,44.98,30.0,0.0,VF CABLEMAX     ,1.0
NRW,45 - 49,53.95,53.95,30.0,0.0,VF CABLEMAX     ,0.0
NRW,50 - 54,49.97,49.97,30.0,0.0,VF CABLEMAX     ,1.0
NRW,30 - 34,39.98,39.98,30.0,0.0,GIGAZUHAUSE KABEL ,1.0
HSN,40 - 44,39.98,39.98,30.0,0.0,VF RIP U-TREUE  ,1.0
KBW,60 - 64,72.96,44.98,30.0,0.0,VF CABLEMAX     ,0.0
KBW,30 - 34,39.99,39.99,30.0,0.0,RED INTERNET & PHONE CABLE U ,0.0
KBW,25 - 29,34.99,34.99,30.0,0.0,RED INTERNET & PHONE CABLE U ,0.0
KBW,25 - 29,44.98,44.98,30.0,0.0,RED INTERNET & PHONE CABLE U ,1.0
HSN,35 - 39,39.99,39.99,30.0,0.0,VF RIP U-TREUE  ,1.0
NRW,60 - 64,32.99,32.99,30.0,0.0,VF RIP U-TREUE  ,0.0
KBW,50 - 54,32.99,32.99,30.0,0.0,VF RIP U-TREUE  ,1.0
KBW,25 - 29,39.99,39.99,30.0,0.0,RED INTERNET & PHONE CABLE U ,1.0
KBW,35 - 39,59.98,59.98,30.0,0.0,RED INTERNET & PHONE CABLE U ,0.0
HSN,40 - 44,29.99,29.99,30.0,0.0,INTERNET PREMIUM     ,1.0
KBW,80 and over,60.98,39.99,30.0,0.0,VF RIP U-TREUE  ,0.0
KBW,25 - 29,39.99,39.99,30.0,0.0,RED INTERNET & PHONE CABLE U ,1.0
NRW,35 - 39,32.99,32.99,30.0,0.0,VF RIP U-TREUE  ,0.0
NRW,25 - 29,48.96,48.97,30.0,0.0,VF CABLEMAX     ,0.0
NRW,35 - 39,29.99,29.99,30.0,0.0,VF RIP U-TREUE  ,0.0
NRW,35 - 39,44.98,44.98,30.0,0.0,VF CABLEMAX     ,0.0
NRW,80 and over,39.98,39.98,30.0,0.0,RED INTERNET & PHONE CABLE U ,1.0
NRW,60 - 64,47.97,47.97,30.0,0.0,RED INTERNET & PHONE CABLE U ,1.0
NRW,50 - 54,39.99,39.99,25.0,0.0,VF CABLEMAX     ,0.0
KBW,60 - 64,44.98,44.98,30.0,0.0,VF CABLEMAX     ,1.0
NRW,25 - 29,48.97,48.97,30.0,0.0,VF CABLEMAX     ,0.0
NRW,50 - 54,54.98,54.98,30.0,1.0,RED INTERNET & PHONE CABLE U ,0.0
NRW,18 - 24,44.99,44.99,30.0,0.0,RED INTERNET & PHONE CABLE U ,1.0
NRW,35 - 39,34.99,34.99,30.0,0.0,RED INTERNET & PHONE CABLE U ,0.0
HSN,25 - 29,44.98,44.98,30.0,0.0,VF CABLEMAX     ,0.0
KBW,35 - 39,44.98,44.98,30.0,0.0,VF CABLEMAX     ,1.0
KBW,55 - 59,44.98,44.98,30.0,0.0,RED INTERNET & PHONE CABLE U ,1.0
NRW,65 - 69,34.99,34.99,30.0,0.0,RED INTERNET & PHONE CABLE U ,0.0
KBW,50 - 54,44.98,44.98,30.0,0.0,VF CABLEMAX     ,1.0
NRW,30 - 34,39.99,39.99,30.0,0.0,VF RIP U-TREUE  ,1.0
NRW,35 - 39,29.99,29.99,30.0,0.0,VF RIP U-TREUE  ,0.0
HSN,30 - 34,43.98,43.98,30.0,0.0,RED INTERNET & PHONE CABLE U ,1.0
KBW,40 - 44,42.98,42.98,30.0,0.0,VF RIP U-TREUE  ,0.0
KBW,30 - 34,44.98,44.98,30.0,0.0,VF CABLEMAX     ,1.0
KBW,50 - 54,49.97,39.99,30.0,0.0,VF RIP U-TREUE  ,1.0
HSN,50 - 54,32.99,32.99,30.0,0.0,VF RIP U-TREUE  ,1.0
KBW,80 and over,55.98,34.99,30.0,0.0,RED INTERNET & PHONE CABLE U ,0.0
NRW,75 - 79,64.97,39.99,30.0,0.0,VF RIP U-TREUE  ,1.0
NRW,30 - 34,29.99,29.99,30.0,0.0,INTERNET PREMIUM     ,1.0
NRW,25 - 29,39.98,39.98,30.0,0.0,RED INTERNET & PHONE CABLE U ,1.0
NRW,60 - 64,34.98,34.99,30.0,0.0,RED INTERNET & PHONE CABLE U ,1.0
NRW,35 - 39,49.97,49.97,30.0,0.0,VF CABLEMAX     ,0.0
HSN,35 - 39,39.99,39.99,30.0,0.0,RED INTERNET & PHONE CABLE U ,1.0
HSN,80 and over,24.99,24.99,30.0,0.0,INTERNET COMFORT     ,0.0
NRW,50 - 54,54.99,54.99,30.0,0.0,RED INTERNET & PHONE CABLE U ,0.0
KBW,70 - 74,29.99,29.99,30.0,0.0,VF RIP U-TREUE  ,1.0
NRW,25 - 29,44.98,44.98,87.0,0.0,RED INTERNET & PHONE CABLE U ,1.0
HSN,25 - 29,54.99,54.99,30.0,0.0,RED INTERNET & PHONE CABLE U ,1.0
NRW,75 - 79,59.98,39.99,30.0,0.0,VF RIP U-TREUE  ,1.0
NRW,65 - 69,65.87,44.98,30.0,0.0,3PLAY PLUS       ,0.0
NRW,35 - 39,54.98,54.98,30.0,0.0,RED INTERNET & PHONE CABLE U ,1.0
KBW,60 - 64,34.99,34.99,30.0,0.0,RED INTERNET & PHONE CABLE U ,1.0
NRW,65 - 69,42.97,42.97,30.0,0.0,RED INTERNET & PHONE CABLE U ,0.0
KBW,60 - 64,42.97,42.97,30.0,0.0,RED INTERNET & PHONE CABLE U ,1.0
HSN,50 - 54,34.99,34.99,30.0,0.0,RED INTERNET & PHONE CABLE U ,1.0
NRW,18 - 24,11.98,11.98,30.0,0.0,EAZY       ,0.0
NRW,35 - 39,44.98,44.98,30.0,0.0,RED INTERNET & PHONE CABLE U ,1.0
HSN,55 - 59,67.77,37.99,30.0,0.0,VF RIP U-TREUE  ,0.0
KBW,35 - 39,69.96,44.98,30.0,0.0,VF CABLEMAX     ,0.0
NRW,35 - 39,44.98,44.98,30.0,0.0,RED INTERNET & PHONE CABLE U ,1.0
NRW,30 - 34,34.99,34.99,30.0,0.0,RED INTERNET & PHONE CABLE U ,0.0
NRW,80 and over,32.99,32.99,30.0,0.0,VF RIP U-TREUE  ,1.0
KBW,35 - 39,49.97,49.97,30.0,0.0,VF CABLEMAX     ,1.0
KBW,45 - 49,42.98,42.98,30.0,0.0,VF RIP U-TREUE  ,0.0
NRW,25 - 29,48.97,48.98,30.0,0.0,RED INTERNET & PHONE CABLE U ,1.0
NRW,65 - 69,29.99,29.99,30.0,0.0,VF RIP U-TREUE  ,0.0
NRW,18 - 24,29.99,29.99,30.0,0.0,VF RIP U-TREUE  ,0.0
HSN,55 - 59,33.74,33.74,30.0,0.0,GIGAZUHAUSE KABEL ,0.0
KBW,70 - 74,59.97,44.98,30.0,0.0,VF CABLEMAX     ,0.0
HSN,55 - 59,62.98,62.98,30.0,0.0,RED INTERNET & PHONE CABLE U ,1.0
HSN,18 - 24,44.98,44.98,30.0,0.0,VF CABLEMAX     ,1.0
NRW,50 - 54,34.99,34.99,30.0,0.0,RED INTERNET & PHONE CABLE U ,0.0
KBW,30 - 34,29.99,29.99,30.0,0.0,VF RIP U-TREUE  ,1.0
KBW,25 - 29,44.98,44.98,30.0,0.0,RED INTERNET & PHONE CABLE U ,1.0
KBW,30 - 34,64.97,39.99,30.0,0.0,VF RIP U-TREUE  ,1.0
NRW,55 - 59,49.97,49.98,30.0,0.0,RED INTERNET & PHONE CABLE U ,0.0
KBW,30 - 34,44.98,44.98,30.0,0.0,RED INTERNET & PHONE CABLE U ,1.0
NRW,25 - 29,44.98,44.98,30.0,0.0,RED INTERNET & PHONE CABLE U ,0.0
NRW,40 - 44,39.99,39.99,30.0,0.0,RED INTERNET & PHONE CABLE U ,0.0
NRW,18 - 24,39.99,39.99,30.0,0.0,RED INTERNET & PHONE CABLE U ,0.0
HSN,35 - 39,44.98,44.98,30.0,0.0,RED INTERNET & PHONE CABLE U ,1.0
HSN,35 - 39,32.99,32.99,30.0,0.0,VF RIP U-TREUE  ,0.0
NRW,50 - 54,44.98,44.98,30.0,0.0,VF CABLEMAX     ,1.0
KBW,35 - 39,37.99,37.99,30.0,0.0,VF RIP U-TREUE  ,1.0
NRW,60 - 64,49.97,24.99,30.0,0.0,RED INTERNET & PHONE CABLE U ,0.0
HSN,65 - 69,56.95,35.98,30.0,0.0,2PLAY FLY      ,0.0
HSN,35 - 39,44.98,44.98,30.0,0.0,RED INTERNET & PHONE CABLE U ,1.0
NRW,40 - 44,49.97,49.97,30.0,0.0,VF CABLEMAX     ,0.0
KBW,70 - 74,34.99,34.99,30.0,0.0,VF RIP U-TREUE  ,1.0
KBW,65 - 69,32.99,32.99,30.0,0.0,VF RIP U-TREUE  ,0.0
NRW,55 - 59,44.98,44.98,30.0,0.0,VF CABLEMAX     ,0.0
KBW,55 - 59,44.98,44.98,30.0,0.0,VF CABLEMAX     ,0.0
KBW,25 - 29,54.98,54.98,30.0,0.0,GIGAZUHAUSE KABEL ,0.0
KBW,30 - 34,39.98,39.98,122.0,0.0,GIGAZUHAUSE TREUE B ,0.0
KBW,50 - 54,44.99,44.99,30.0,0.0,GIGAZUHAUSE KABEL ,0.0
NRW,60 - 64,34.99,34.99,30.0,0.0,RED INTERNET & PHONE CABLE U ,0.0
NRW,30 - 34,34.99,34.99,30.0,0.0,RED INTERNET & PHONE CABLE U ,1.0
NRW,25 - 29,39.99,39.99,30.0,0.0,VF RIP U-TREUE  ,1.0
HSN,55 - 59,44.98,44.98,30.0,0.0,VF CABLEMAX     ,1.0
HSN,55 - 59,34.99,34.99,30.0,0.0,RED INTERNET & PHONE CABLE U ,1.0
HSN,18 - 24,44.98,44.98,30.0,0.0,RED INTERNET & PHONE CABLE U ,1.0
NRW,30 - 34,29.99,29.99,30.0,0.0,VF RIP U-TREUE  ,1.0
NRW,37 -37,37.96,37.96,30.0,0.0,GIGAZUHAUSE KABEL ,1.0
HSN,55 - 59,49.98,49.98,94.0,0.0,VF CABLEMAX     ,0.0
HSN,75 - 79,38.98,38.98,30.0,0.0,RED INTERNET & PHONE CABLE U ,1.0
NRW,70 - 74,47.96,47.96,30.0,0.0,3PLAY PLUS       ,1.0
KBW,25 - 29,34.99,34.99,30.0,0.0,RED INTERNET & PHONE CABLE U ,0.0
NRW,60 - 64,40.98,24.98,30.0,0.0,GIGAZUHAUSE TREUE C ,0.0
KBW,45 - 49,49.99,49.99,30.0,0.0,GIGAZUHAUSE KABEL ,0.0
KBW,35 - 39,44.98,44.98,30.0,0.0,VF CABLEMAX     ,0.0
NRW,50 - 54,42.97,42.97,30.0,0.0,RED INTERNET & PHONE CABLE U ,1.0
NRW,30 - 34,34.99,34.99,30.0,0.0,RED INTERNET & PHONE CABLE U ,1.0
KBW,80 and over,49.97,39.98,30.0,0.0,VF CABLEMAX     ,1.0
NRW,25 - 29,29.99,29.99,30.0,0.0,VF RIP U-TREUE  ,0.0
HSN,55 - 59,54.99,54.99,30.0,0.0,RED INTERNET & PHONE CABLE U ,0.0
