region,customer_age_class,basket_package_price_disc,internet_package_price_disc,basket_days_until_contract_end,count_previous_cancellations_0_18,internet_product_name,flag_churn
2,7,34.99,34.99,30.0,0.0,46,0.0
2,9,44.98,44.98,30.0,0.0,51,1.0
1,13,34.99,34.99,30.0,0.0,46,1.0
2,2,44.97,44.97,30.0,0.0,51,0.0
2,1,34.99,34.99,30.0,0.0,46,1.0
0,0,44.98,44.98,30.0,0.0,46,1.0
1,7,49.97,49.97,30.0,0.0,46,1.0
2,14,54.99,54.99,30.0,0.0,46,1.0
2,11,29.99,29.99,30.0,0.0,46,0.0
0,13,39.98,39.98,30.0,0.0,51,0.0
1,7,49.99,49.99,30.0,0.0,32,0.0
1,9,34.99,34.99,30.0,0.0,46,1.0
1,7,35.97,35.97,30.0,0.0,53,0.0
2,1,44.98,44.98,30.0,0.0,46,1.0
1,11,39.99,39.99,30.0,0.0,46,0.0
2,11,39.99,39.99,30.0,0.0,46,0.0
2,10,54.99,54.99,30.0,0.0,46,0.0
0,1,44.98,44.98,30.0,0.0,51,0.0
1,7,44.98,44.98,30.0,0.0,51,0.0
2,10,48.97,48.97,30.0,0.0,51,0.0
1,12,49.98,49.99,30.0,0.0,53,1.0
1,1,44.98,44.98,30.0,0.0,51,0.0
0,1,53.98,53.98,30.0,0.0,46,0.0
1,7,49.99,49.99,30.0,0.0,46,0.0
2,7,44.98,44.98,30.0,0.0,51,0.0
2,7,42.97,42.97,30.0,0.0,23,1.0
0,1,37.99,37.99,30.0,0.0,53,1.0
1,11,34.99,34.99,30.0,0.0,46,0.0
1,3,27.99,27.99,30.0,0.0,53,0.0
1,7,44.98,44.98,30.0,0.0,51,1.0
0,1,39.99,39.99,30.0,0.0,46,1.0
2,11,39.99,39.99,30.0,0.0,46,0.0
1,1,42.97,42.97,30.0,0.0,32,0.0
2,7,44.98,44.98,30.0,0.0,51,1.0
1,10,32.99,32.99,30.0,0.0,53,0.0
2,9,54.99,54.99,30.0,0.0,46,0.0
0,2,42.97,42.97,30.0,0.0,46,1.0
2,4,51.85,55.83,30.0,0.0,7,0.0
2,8,39.99,39.99,30.0,0.0,53,1.0
2,4,48.97,48.97,30.0,0.0,46,1.0
1,10,34.99,34.99,30.0,0.0,46,0.0
2,12,34.99,34.99,30.0,0.0,46,1.0
2,11,54.99,54.99,30.0,0.0,46,1.0
2,7,39.99,39.99,30.0,0.0,46,1.0
1,14,47.99,47.99,30.0,0.0,53,0.0
1,9,49.97,49.97,30.0,0.0,51,1.0
2,7,41.98,34.99,30.0,0.0,46,0.0
1,9,54.99,54.99,30.0,0.0,46,0.0
1,13,59.98,59.98,30.0,0.0,32,0.0
2,8,39.98,39.98,30.0,0.0,53,0.0
1,10,44.98,44.98,30.0,0.0,46,0.0
1,7,37.98,37.98,30.0,0.0,53,1.0
0,9,44.98,44.98,30.0,0.0,51,1.0
0,4,37.99,37.99,30.0,0.0,53,1.0
2,1,39.98,39.98,30.0,0.0,32,1.0
0,7,42.97,42.97,30.0,0.0,4,1.0
1,2,37.85,37.78,30.0,0.0,32,1.0
2,4,34.99,34.99,30.0,0.0,53,0.0
2,11,49.99,49.99,30.0,0.0,53,0.0
0,0,44.98,44.98,30.0,0.0,46,1.0
1,7,49.97,49.97,30.0,0.0,46,1.0
2,4,39.97,39.98,129.0,0.0,32,1.0
0,8,49.99,49.99,30.0,0.0,46,0.0
2,8,29.99,29.99,30.0,0.0,53,0.0
2,11,59.98,59.98,98.0,0.0,32,1.0
0,8,34.99,34.99,30.0,0.0,46,1.0
2,7,49.99,49.99,30.0,0.0,46,1.0
