region,customer_age_class,basket_package_price_disc,internet_package_price_disc,basket_days_until_contract_end,count_previous_cancellations_0_18,internet_product_name,flag_churn
KBW,55 - 59,42.98,42.98,30.0,0.0,GIGAZUHAUSE,0.0
NRW,under 18,54.98,54.99,30.0,0.0,GIGAZUHAUSE,0.0
HSN,65 - 69,69.96,44.98,30.0,0.0,RED,1.0
HSN,25 - 29,24.99,24.99,277.0,0.0,GIGAZUHAUSE,0.0
NRW,under 18,39.99,39.99,30.0,0.0,RED,1.0
KBW,55 - 59,42.97,42.97,30.0,0.0,RED,1.0
NRW,45 - 49,39.99,39.99,30.0,0.0,VF,1.0
KBW,65 - 69,44.98,44.98,30.0,0.0,VF,1.0
NRW,50 - 54,39.99,39.99,30.0,0.0,RED,1.0
KBW,25 - 29,44.98,44.98,30.0,0.0,RED,1.0
NRW,under 18,44.98,34.99,30.0,0.0,VF,1.0
NRW,under 18,39.99,39.99,30.0,0.0,VF,1.0
NRW,50 - 54,47.98,47.98,30.0,0.0,VF,0.0
NRW,55 - 59,44.98,44.98,30.0,0.0,VF,0.0
NRW,55 - 59,37.99,37.99,30.0,0.0,VF,1.0
HSN,50 - 54,39.99,39.99,30.0,0.0,RED,0.0
NRW,25 - 29,44.98,44.98,30.0,0.0,RED,0.0
NRW,75 - 79,39.99,39.99,30.0,0.0,RED,0.0
HSN,55 - 59,44.98,44.98,30.0,0.0,RED,0.0
NRW,25 - 29,39.98,39.98,30.0,0.0,RED,0.0
KBW,50 - 54,44.98,44.98,30.0,0.0,VF,0.0
NRW,50 - 54,44.98,44.98,30.0,0.0,VF,1.0
NRW,50 - 54,39.99,39.99,30.0,0.0,RED,1.0
KBW,under 18,39.99,39.99,30.0,0.0,VF,1.0
NRW,45 - 49,69.96,49.97,30.0,0.0,RED,0.0
NRW,35 - 39,42.97,42.97,30.0,0.0,VF,1.0
HSN,25 - 29,34.99,34.99,30.0,0.0,RED,1.0
NRW,75 - 79,39.99,39.99,30.0,0.0,VF,1.0
KBW,45 - 49,42.97,42.97,30.0,0.0,2PLAY,0.0
KBW,75 - 79,34.99,34.99,30.0,0.0,RED,1.0
KBW,75 - 79,62.97,42.98,30.0,0.0,GIGAZUHAUSE,1.0
NRW,under 18,54.99,54.99,30.0,0.0,RED,0.0
KBW,25 - 29,44.98,44.98,30.0,0.0,VF,1.0
KBW,35 - 39,39.98,39.98,368.0,0.0,GIGAZUHAUSE,0.0
KBW,75 - 79,39.99,39.99,30.0,0.0,RED,0.0
KBW,80 and over,49.97,49.97,30.0,0.0,VF,0.0
NRW,75 - 79,48.97,48.97,30.0,0.0,RED,1.0
NRW,75 - 79,47.99,47.99,30.0,0.0,VF,1.0
NRW,80 and over,39.99,39.99,30.0,0.0,RED,1.0
KBW,65 - 69,44.98,44.98,30.0,0.0,VF,1.0
NRW,25 - 29,42.98,42.98,303.0,0.0,GIGAZUHAUSE,1.0
HSN,under 18,37.99,37.99,30.0,0.0,GIGAZUHAUSE,1.0
KBW,25 - 29,39.98,39.98,30.0,0.0,VF,0.0
HSN,75 - 79,37.99,37.99,30.0,0.0,VF,1.0
NRW,60 - 64,37.98,37.98,30.0,0.0,VF,1.0
HSN,60 - 64,39.98,39.98,30.0,0.0,GIGAZUHAUSE,1.0
HSN,25 - 29,59.98,59.98,30.0,0.0,VF,0.0
KBW,75 - 79,49.97,49.97,30.0,0.0,VF,0.0
NRW,under 18,39.99,39.99,30.0,0.0,RED,1.0
NRW,80 and over,34.99,34.99,30.0,0.0,RED,0.0
HSN,55 - 59,48.97,48.97,30.0,0.0,RED,0.0
KBW,25 - 29,44.98,44.98,30.0,0.0,RED,0.0
KBW,75 - 79,49.99,34.99,30.0,0.0,GIGAZUHAUSE,1.0
NRW,50 - 54,44.99,29.99,30.0,0.0,GIGAZUHAUSE,1.0
HSN,80 and over,49.99,49.99,30.0,0.0,RED,1.0
NRW,35 - 39,34.99,34.99,30.0,0.0,RED,0.0
HSN,75 - 79,39.99,39.99,30.0,0.0,RED,0.0
HSN,under 18,39.98,39.98,30.0,0.0,RED,1.0
NRW,75 - 79,54.99,54.99,30.0,0.0,RED,0.0
NRW,18 - 24,39.99,39.99,30.0,0.0,RED,1.0
NRW,under 18,34.99,34.99,30.0,0.0,RED,1.0
NRW,25 - 29,44.98,44.98,30.0,0.0,RED,0.0
NRW,under 18,44.98,44.98,30.0,0.0,VF,1.0
NRW,75 - 79,39.99,39.99,616.0,0.0,GIGAZUHAUSE,1.0
KBW,18 - 24,39.99,39.99,30.0,0.0,RED,1.0
KBW,50 - 54,72.97,47.98,30.0,0.0,RED,0.0
NRW,80 and over,39.99,39.99,30.0,0.0,RED,0.0
NRW,25 - 29,34.99,34.99,30.0,0.0,RED,1.0
NRW,30 - 34,24.99,24.99,30.0,0.0,GIGAZUHAUSE,0.0
NRW,55 - 59,39.99,39.99,30.0,0.0,VF,1.0
NRW,60 - 64,44.99,44.99,30.0,0.0,VF,0.0
NRW,75 - 79,29.99,29.99,30.0,0.0,VF,0.0
NRW,55 - 59,39.99,39.99,30.0,0.0,VF,0.0
HSN,80 and over,58.98,58.98,30.0,0.0,RED,1.0
NRW,under 18,44.98,44.98,30.0,0.0,VF,1.0
KBW,under 18,44.98,44.98,30.0,0.0,RED,1.0
KBW,80 and over,73.95,51.98,30.0,0.0,GIGAZUHAUSE,0.0
KBW,30 - 34,42.99,42.99,30.0,0.0,VF,1.0
HSN,25 - 29,44.98,44.98,30.0,0.0,VF,1.0
KBW,75 - 79,44.98,44.98,30.0,0.0,VF,1.0
NRW,under 18,34.99,34.99,30.0,0.0,RED,0.0
NRW,65 - 69,32.98,32.99,30.0,0.0,VF,0.0
NRW,75 - 79,39.99,39.99,30.0,0.0,VF,1.0
KBW,65 - 69,29.99,29.99,30.0,0.0,RED,1.0
NRW,60 - 64,44.98,44.98,30.0,0.0,VF,1.0
KBW,30 - 34,74.96,49.96,30.0,0.0,VF,0.0
HSN,60 - 64,29.99,29.99,30.0,0.0,VF,0.0
KBW,45 - 49,30.95,30.95,30.0,0.0,RED,0.0
HSN,65 - 69,44.98,44.98,30.0,0.0,VF,1.0
NRW,65 - 69,39.99,39.99,30.0,0.0,RED,1.0
NRW,50 - 54,44.98,44.98,30.0,0.0,VF,0.0
KBW,80 and over,29.99,29.99,30.0,0.0,INTERNET,0.0
NRW,80 and over,44.98,44.98,30.0,0.0,VF,0.0
KBW,55 - 59,44.98,44.98,30.0,0.0,VF,1.0
KBW,under 18,39.98,39.98,30.0,0.0,VF,1.0
NRW,45 - 49,43.98,43.98,30.0,0.0,GIGAZUHAUSE,1.0
NRW,30 - 34,39.99,39.99,699.0,0.0,RED,0.0
KBW,75 - 79,68.96,39.98,30.0,0.0,VF,1.0
NRW,50 - 54,42.97,42.97,30.0,0.0,RED,1.0
KBW,75 - 79,39.99,39.99,30.0,0.0,RED,0.0
KBW,75 - 79,39.99,39.99,30.0,0.0,RED,1.0
KBW,55 - 59,29.99,29.99,30.0,0.0,VF,0.0
NRW,25 - 29,44.98,44.98,30.0,0.0,VF,0.0
KBW,under 18,24.99,24.99,30.0,0.0,INTERNET,1.0
KBW,45 - 49,54.98,54.98,30.0,0.0,RED,1.0
KBW,25 - 29,38.98,38.98,30.0,0.0,RED,0.0
NRW,35 - 39,49.97,49.97,30.0,0.0,VF,1.0
HSN,45 - 49,44.98,44.98,30.0,0.0,VF,1.0
HSN,18 - 24,39.99,39.99,30.0,0.0,VF,0.0
HSN,65 - 69,49.99,49.99,30.0,0.0,GIGAZUHAUSE,0.0
KBW,60 - 64,52.98,44.98,30.0,0.0,VF,0.0
HSN,50 - 54,78.96,44.98,30.0,0.0,VF,1.0
NRW,25 - 29,34.99,34.99,30.0,0.0,RED,1.0
NRW,50 - 54,37.99,37.99,30.0,0.0,VF,0.0
KBW,50 - 54,44.97,44.97,30.0,0.0,RED,1.0
NRW,75 - 79,34.99,34.99,30.0,0.0,VF,0.0
HSN,45 - 49,44.98,44.98,30.0,0.0,RED,1.0
KBW,30 - 34,58.98,58.98,30.0,0.0,RED,0.0
KBW,45 - 49,39.99,39.99,30.0,0.0,RED,1.0
KBW,35 - 39,39.99,39.99,30.0,0.0,RED,1.0
NRW,55 - 59,44.97,44.98,30.0,0.0,VF,1.0
KBW,45 - 49,39.99,39.99,30.0,0.0,RED,0.0
HSN,60 - 64,49.97,49.97,30.0,0.0,RED,0.0
KBW,40 - 44,29.99,29.99,30.0,0.0,VF,0.0
KBW,40 - 44,44.98,44.98,30.0,0.0,RED,0.0
NRW,45 - 49,34.99,34.99,30.0,0.0,RED,1.0
KBW,50 - 54,49.98,49.98,126.0,0.0,GIGAZUHAUSE,0.0
KBW,55 - 59,44.97,44.98,30.0,0.0,VF,0.0
NRW,50 - 54,49.97,49.97,30.0,0.0,RED,0.0
KBW,45 - 49,44.98,44.98,30.0,0.0,VF,0.0
HSN,under 18,34.99,34.99,30.0,0.0,RED,0.0
NRW,60 - 64,39.99,39.99,30.0,0.0,VF,0.0
NRW,25 - 29,49.99,49.99,30.0,0.0,GIGAZUHAUSE,1.0
KBW,under 18,49.99,49.99,30.0,0.0,VF,0.0
HSN,80 and over,44.98,44.98,30.0,0.0,VF,1.0
KBW,18 - 24,37.98,37.98,30.0,0.0,VF,1.0
KBW,50 - 54,39.99,39.99,30.0,0.0,RED,1.0
KBW,45 - 49,44.98,44.98,30.0,0.0,VF,0.0
NRW,40 - 44,54.98,54.98,30.0,0.0,RED,0.0
NRW,75 - 79,74.96,49.97,30.0,0.0,VF,0.0
NRW,under 18,42.98,42.98,30.0,0.0,2PLAY,0.0
HSN,30 - 34,39.98,39.99,30.0,0.0,RED,1.0
NRW,65 - 69,37.99,37.99,30.0,0.0,VF,0.0
HSN,60 - 64,57.99,49.99,30.0,0.0,GIGAZU,0.0
NRW,40 - 44,29.99,29.99,30.0,0.0,RED,0.0
NRW,under 18,48.97,48.97,30.0,0.0,VF,0.0
KBW,25 - 29,44.98,44.98,30.0,0.0,VF,1.0
HSN,30 - 34,43.97,43.97,30.0,0.0,VF,1.0
KBW,under 18,37.99,37.99,30.0,0.0,VF,1.0
KBW,55 - 59,59.97,59.97,30.0,0.0,3PLAY,1.0
NRW,18 - 24,49.99,49.99,30.0,0.0,RED,1.0
HSN,25 - 29,39.99,39.99,30.0,0.0,RED,1.0
NRW,35 - 39,44.98,44.98,30.0,0.0,RED,0.0
KBW,65 - 69,44.98,44.98,30.0,0.0,VF,0.0
KBW,50 - 54,39.99,39.99,30.0,0.0,RED,1.0
NRW,75 - 79,44.98,44.98,30.0,0.0,RED,1.0
KBW,45 - 49,42.98,42.98,30.0,0.0,GIGAZUHAUSE,1.0
KBW,55 - 59,37.98,37.98,30.0,0.0,VF,0.0
KBW,60 - 64,19.99,19.99,30.0,0.0,3PLAY,0.0
KBW,55 - 59,34.98,34.98,30.0,0.0,RED,1.0
KBW,25 - 29,49.97,49.99,30.0,0.0,RED,1.0
NRW,60 - 64,44.98,44.98,30.0,0.0,VF,1.0
KBW,65 - 69,43.98,43.98,30.0,0.0,GIGAZUHAUSE,0.0
HSN,under 18,34.99,34.99,30.0,0.0,RED,0.0
KBW,65 - 69,44.98,44.98,30.0,0.0,GIGAZUHAUSE,1.0
KBW,60 - 64,54.96,34.99,30.0,1.0,RED,0.0
HSN,50 - 54,51.86,30.8,30.0,0.0,1PLAY,1.0
NRW,55 - 59,34.99,34.99,30.0,0.0,RED,0.0
KBW,80 and over,44.98,44.98,30.0,0.0,RED,0.0
HSN,60 - 64,44.98,44.98,30.0,0.0,VF,1.0
NRW,under 18,42.98,42.98,30.0,0.0,VF,0.0
KBW,75 - 79,34.99,34.99,30.0,0.0,RED,0.0
NRW,65 - 69,34.99,34.99,30.0,0.0,RED,1.0
NRW,under 18,59.96,29.99,30.0,0.0,VF,0.0
KBW,35 - 39,34.99,34.99,30.0,0.0,RED,0.0
NRW,50 - 54,39.99,39.99,30.0,0.0,VF,1.0
KBW,45 - 49,47.99,47.99,30.0,0.0,RED,0.0
KBW,75 - 79,34.99,34.99,30.0,0.0,RED,0.0
NRW,40 - 44,34.99,34.99,30.0,0.0,VF,0.0
NRW,80 and over,60.9,40.9,30.0,0.0,3PLAY,0.0
KBW,55 - 59,39.98,39.99,30.0,0.0,VF,1.0
KBW,25 - 29,42.99,42.99,30.0,0.0,GIGAZUHAUSE,0.0
NRW,50 - 54,39.98,39.98,30.0,0.0,RED,1.0
KBW,55 - 59,44.98,44.98,30.0,0.0,RED,1.0
HSN,under 18,49.97,49.97,30.0,0.0,RED,1.0
HSN,30 - 34,44.98,44.98,30.0,0.0,VF,0.0
KBW,60 - 64,53.96,53.96,30.0,0.0,GIGAZUHAUSE,1.0
KBW,35 - 39,54.98,54.98,30.0,0.0,RED,0.0
KBW,under 18,29.99,29.99,30.0,0.0,VF,1.0
HSN,under 18,34.99,34.99,30.0,0.0,RED,1.0
NRW,45 - 49,49.97,49.97,30.0,0.0,RED,1.0
NRW,75 - 79,37.99,37.99,30.0,0.0,VF,0.0
HSN,50 - 54,39.99,39.99,30.0,0.0,RED,1.0
NRW,45 - 49,70.98,49.98,30.0,0.0,GIGAZUHAUSE,1.0
KBW,40 - 44,44.97,44.97,30.0,0.0,VF,1.0
HSN,55 - 59,39.98,39.98,30.0,0.0,RED,1.0
KBW,25 - 29,43.98,43.98,30.0,0.0,RED,0.0
HSN,75 - 79,42.97,54.98,30.0,0.0,RED,1.0
NRW,75 - 79,34.99,34.99,30.0,0.0,RED,0.0
NRW,65 - 69,44.99,44.99,30.0,0.0,RED,1.0
KBW,50 - 54,64.97,44.98,30.0,0.0,GIGAZUHAUSE,0.0
NRW,under 18,34.99,34.99,30.0,0.0,RED,0.0
NRW,65 - 69,34.99,34.99,30.0,0.0,RED,0.0
NRW,75 - 79,37.98,37.98,30.0,0.0,2PLAY,0.0
NRW,75 - 79,34.99,34.99,30.0,0.0,VF,0.0
NRW,55 - 59,44.98,44.98,30.0,0.0,VF,1.0
KBW,40 - 44,37.78,37.78,30.0,0.0,VF,1.0
NRW,65 - 69,29.99,29.99,30.0,0.0,RED,1.0
HSN,75 - 79,39.98,39.98,30.0,0.0,RED,0.0
KBW,35 - 39,39.99,39.99,30.0,0.0,RED,0.0
NRW,under 18,49.97,49.97,30.0,0.0,RED,1.0
NRW,60 - 64,39.99,39.99,339.0,0.0,GIGAZUHAUSE,1.0
KBW,25 - 29,34.99,34.99,30.0,0.0,RED,1.0
KBW,35 - 39,27.99,27.99,30.0,0.0,RED,1.0
KBW,under 18,39.99,39.99,30.0,0.0,VF,0.0
KBW,80 and over,34.99,34.99,30.0,0.0,RED,1.0
KBW,75 - 79,42.97,42.97,30.0,0.0,2PLAY,0.0
KBW,50 - 54,42.98,44.98,30.0,0.0,RED,0.0
KBW,under 18,34.99,34.99,30.0,0.0,RED,0.0
NRW,55 - 59,39.99,39.99,30.0,0.0,RED,1.0
NRW,75 - 79,34.99,34.99,30.0,0.0,VF,1.0
KBW,25 - 29,39.98,39.98,30.0,0.0,VF,0.0
HSN,under 18,29.99,29.99,30.0,0.0,VF,1.0
HSN,25 - 29,39.98,39.98,204.0,0.0,GIGAZUHAUSE,1.0
KBW,25 - 29,44.98,44.98,30.0,0.0,RED,1.0
NRW,30 - 34,49.97,29.99,30.0,0.0,VF,1.0
KBW,45 - 49,34.99,59.99,699.0,0.0,GIGAZUHAUSE,0.0
KBW,under 18,44.98,44.98,30.0,0.0,VF,1.0
KBW,50 - 54,29.99,29.99,30.0,0.0,VF,0.0
NRW,25 - 29,32.95,32.95,30.0,0.0,VF,1.0
NRW,65 - 69,61.98,49.99,30.0,0.0,RED,0.0
KBW,60 - 64,34.99,34.99,30.0,0.0,VF,1.0
NRW,45 - 49,44.94,44.98,30.0,0.0,VF,1.0
