region,customer_age_class,basket_package_price_disc,internet_package_price_disc,basket_days_until_contract_end,count_previous_cancellations_0_18,internet_product_name,flag_churn
0,3,44.98,44.98,30.0,0.0,55,1.0
2,1,54.98,29.99,382.0,0.0,41,0.0
1,4,49.99,49.99,30.0,0.0,3,1.0
0,3,39.99,39.99,30.0,0.0,50,1.0
1,1,44.97,44.97,30.0,0.0,55,0.0
2,2,29.99,29.99,30.0,0.0,57,0.0
2,2,39.98,39.98,30.0,0.0,55,0.0
2,2,44.98,44.98,30.0,0.0,50,1.0
2,2,39.99,39.99,30.0,0.0,50,1.0
2,5,40.0,40.0,30.0,0.0,7,0.0
1,1,39.99,39.99,30.0,0.0,50,0.0
0,4,58.98,58.98,30.0,0.0,50,1.0
0,3,44.98,44.98,30.0,0.0,50,1.0
1,6,44.98,44.98,30.0,0.0,50,0.0
2,1,63.98,63.98,255.0,0.0,38,1.0
0,5,39.99,39.99,30.0,0.0,50,0.0
2,8,38.97,38.97,30.0,0.0,55,1.0
2,3,39.99,39.99,30.0,0.0,57,1.0
2,10,34.99,34.99,30.0,0.0,50,1.0
0,10,24.99,24.99,333.0,0.0,41,1.0
2,3,34.99,34.99,30.0,0.0,50,1.0
1,1,44.99,44.99,148.0,0.0,38,1.0
1,1,44.99,44.99,206.0,0.0,38,0.0
2,2,39.99,39.99,30.0,0.0,50,1.0
0,4,54.99,54.99,30.0,0.0,50,1.0
2,8,29.98,29.98,30.0,0.0,50,0.0
1,2,37.99,37.99,30.0,0.0,57,0.0
2,7,11.98,11.98,30.0,0.0,34,0.0
2,6,49.97,49.97,30.0,0.0,55,1.0
1,4,39.99,39.99,30.0,0.0,50,0.0
1,7,34.99,34.99,30.0,0.0,50,0.0
1,9,29.99,29.99,30.0,0.0,57,1.0
1,4,42.98,42.98,30.0,0.0,57,0.0
1,2,42.97,42.97,30.0,0.0,50,1.0
1,8,49.99,49.99,30.0,0.0,38,0.0
2,4,39.99,39.99,30.0,0.0,50,1.0
1,3,42.98,42.98,30.0,0.0,57,1.0
2,7,34.99,34.99,30.0,0.0,50,1.0
1,7,49.97,49.97,71.0,0.0,55,0.0
1,8,49.97,44.98,30.0,0.0,55,0.0
2,4,44.99,44.99,30.0,0.0,50,0.0
2,4,44.98,44.98,30.0,0.0,50,1.0
2,3,32.99,32.99,30.0,0.0,57,0.0
0,1,54.99,54.99,30.0,0.0,50,1.0
1,8,32.99,37.99,30.0,0.0,57,0.0
1,6,34.99,34.99,30.0,0.0,57,1.0
2,8,29.99,29.99,30.0,0.0,57,0.0
2,7,29.99,29.99,30.0,0.0,57,1.0
