,region,customer_age_class,basket_package_price_disc,internet_package_price_disc,basket_days_until_contract_end,count_previous_cancellations_0_18,internet_product_name,flag_churn
0,1,8,39.99,39.99,30.0,0.0,50,1.0
1,0,9,34.99,34.99,30.0,0.0,50,0.0
2,1,3,34.99,34.99,30.0,0.0,50,1.0
3,0,2,19.99,19.99,30.0,0.0,1,1.0
4,1,7,59.97,39.99,30.0,0.0,50,0.0
5,0,3,49.97,49.97,30.0,0.0,55,0.0
6,2,4,29.99,29.99,30.0,0.0,57,0.0
7,1,6,42.98,42.98,30.0,0.0,57,0.0
8,2,7,44.98,44.98,30.0,0.0,50,0.0
9,0,12,39.99,39.99,30.0,0.0,55,0.0
10,0,1,39.99,39.99,30.0,0.0,50,1.0
11,2,6,39.98,39.98,30.0,0.0,55,1.0
12,1,4,44.99,44.99,155.0,0.0,38,1.0
13,1,2,39.98,39.98,322.0,0.0,38,1.0
14,2,4,29.99,29.99,30.0,0.0,57,0.0
15,2,3,39.99,39.99,30.0,0.0,50,1.0
16,2,2,52.98,42.98,30.0,0.0,7,0.0
17,2,4,39.99,39.99,30.0,0.0,50,0.0
18,1,0,44.98,44.98,30.0,0.0,50,0.0
19,2,12,39.99,39.99,30.0,0.0,50,1.0
20,1,4,37.99,37.99,30.0,0.0,57,0.0
21,1,6,34.99,34.99,30.0,0.0,50,1.0
22,1,5,34.99,34.99,30.0,0.0,50,1.0
23,2,2,32.99,32.99,30.0,0.0,57,0.0
24,2,6,34.99,34.99,30.0,0.0,38,1.0
25,1,2,34.99,34.99,30.0,0.0,50,0.0
26,2,1,29.99,29.99,30.0,0.0,46,1.0
27,2,11,39.99,39.99,30.0,0.0,57,0.0
28,1,4,39.99,39.99,30.0,0.0,50,0.0
29,2,2,29.99,29.99,30.0,0.0,50,1.0
30,0,6,44.99,44.99,30.0,0.0,57,1.0
31,1,6,169.92,169.92,30.0,0.0,50,1.0
32,2,2,37.99,37.99,30.0,0.0,57,1.0
33,2,7,44.99,44.99,30.0,0.0,38,1.0
34,2,9,54.99,54.99,30.0,3.0,50,1.0
35,2,6,29.99,29.99,30.0,0.0,57,0.0
36,2,11,34.99,34.99,30.0,0.0,50,1.0
37,1,6,29.99,29.99,30.0,0.0,57,0.0
38,2,0,34.99,34.99,30.0,0.0,57,1.0
39,2,5,29.99,29.99,30.0,0.0,57,1.0
40,2,4,44.99,44.99,318.0,0.0,40,0.0
41,1,7,25.0,25.0,30.0,0.0,50,0.0
42,1,2,39.98,39.98,30.0,0.0,55,0.0
43,1,3,49.97,49.97,30.0,0.0,55,1.0
44,2,9,63.97,42.98,30.0,0.0,57,1.0
45,1,4,29.99,29.99,30.0,0.0,57,1.0
46,2,5,42.98,42.98,30.0,0.0,57,0.0
47,2,7,32.99,32.99,30.0,0.0,57,0.0
48,2,2,29.99,29.99,30.0,0.0,57,0.0
49,0,12,32.95,32.95,30.0,0.0,11,1.0
50,1,4,34.99,34.99,30.0,0.0,50,0.0
51,1,3,44.98,44.98,30.0,0.0,55,0.0
52,2,1,39.99,39.99,30.0,0.0,50,0.0
53,2,1,39.99,39.99,30.0,0.0,57,1.0
54,2,3,34.99,34.99,30.0,0.0,50,1.0
55,2,4,34.99,34.99,30.0,0.0,50,1.0
56,2,3,34.99,34.99,30.0,0.0,50,1.0
57,2,11,37.78,37.78,30.0,0.0,38,1.0
58,2,4,54.99,54.99,30.0,0.0,50,0.0
59,1,7,37.99,37.99,30.0,0.0,57,1.0
60,1,7,44.98,44.98,30.0,0.0,50,1.0
61,2,1,39.98,39.98,30.0,0.0,50,1.0
62,2,7,32.99,32.99,30.0,0.0,57,1.0
63,2,4,24.98,24.98,30.0,0.0,50,1.0
64,2,6,49.99,49.99,112.0,0.0,38,0.0
65,2,8,49.99,49.99,30.0,0.0,50,1.0
66,2,3,44.98,44.98,30.0,0.0,55,0.0
67,2,3,58.98,58.98,30.0,0.0,50,0.0
68,2,2,34.99,34.99,30.0,0.0,50,0.0
69,0,10,49.97,49.97,30.0,0.0,50,1.0
70,1,6,39.99,39.99,30.0,0.0,57,1.0
71,2,10,29.99,29.99,30.0,0.0,57,0.0
72,1,1,34.99,34.99,30.0,0.0,50,1.0
73,0,7,29.99,29.99,662.0,0.0,46,0.0
74,1,4,49.99,49.99,30.0,0.0,50,0.0
75,0,1,39.99,39.99,30.0,0.0,57,1.0
76,2,5,54.99,54.99,30.0,0.0,50,0.0
77,2,4,49.98,49.98,30.0,0.0,38,1.0
78,2,3,34.99,34.99,30.0,0.0,50,0.0
79,2,4,47.99,37.99,30.0,0.0,57,1.0
80,1,3,44.98,44.98,30.0,0.0,50,0.0
81,2,1,34.99,34.99,30.0,0.0,50,0.0
82,2,5,58.14,58.77,30.0,0.0,50,1.0
83,2,6,44.98,44.98,30.0,0.0,55,1.0
84,1,9,42.98,42.98,30.0,0.0,57,1.0
85,2,4,47.96,47.96,30.0,0.0,22,0.0
86,2,3,34.99,34.99,30.0,0.0,50,0.0
87,0,2,44.98,44.98,30.0,0.0,55,1.0
88,2,2,49.96,49.97,30.0,0.0,55,0.0
89,1,2,34.99,34.99,30.0,0.0,50,0.0
90,1,2,39.99,39.99,30.0,0.0,50,0.0
91,1,10,68.96,47.96,30.0,0.0,50,0.0
92,1,8,29.99,29.99,30.0,0.0,57,0.0
93,2,2,29.99,29.99,30.0,0.0,50,0.0
94,2,8,60.98,39.99,30.0,0.0,57,0.0
95,1,12,60.98,39.99,30.0,0.0,50,0.0
96,2,1,54.99,54.99,30.0,0.0,50,0.0
97,2,2,44.98,44.98,30.0,0.0,50,1.0
98,2,4,29.99,29.99,30.0,0.0,57,1.0
99,2,8,34.99,34.99,30.0,0.0,50,1.0
100,1,12,49.99,49.99,30.0,0.0,38,1.0
101,2,8,54.99,54.99,30.0,0.0,50,0.0
102,2,7,62.98,39.99,30.0,0.0,50,0.0
103,0,1,29.99,29.99,30.0,0.0,46,1.0
104,2,4,0.0,0.0,30.0,0.0,48,0.0
105,2,4,39.99,39.99,546.0,0.0,50,1.0
106,1,2,44.98,44.98,30.0,0.0,55,0.0
107,1,11,39.98,39.98,30.0,0.0,50,0.0
108,2,7,44.98,44.98,30.0,0.0,55,1.0
109,2,3,49.98,49.98,30.0,0.0,38,1.0
110,0,11,38.99,38.99,30.0,0.0,38,0.0
111,1,3,49.99,49.99,30.0,0.0,50,0.0
112,2,1,44.98,44.98,30.0,0.0,55,1.0
113,2,4,39.99,39.99,30.0,0.0,50,1.0
114,0,6,32.99,32.99,30.0,0.0,57,0.0
115,2,7,44.98,44.98,30.0,0.0,50,1.0
116,2,3,39.98,39.98,30.0,0.0,50,0.0
117,2,3,39.99,39.99,30.0,0.0,50,1.0
118,1,10,27.8,27.8,30.0,0.0,3,0.0
119,2,2,49.99,49.99,30.0,0.0,50,1.0
