customer_age_class,region,internet_product_name,basket_package_price_disc,internet_package_price_disc,basket_days_until_contract_end,count_previous_cancellations_0_18,flag_churn
80 and over,NRW,VF RIP U-TREUE,32.74,37.95,29,0,0
55 - 59,NRW,RED INTERNET & PHONE CABLE U,88.03,49.23,31,0,0
50 - 54,NRW,VF CABLEMAX,41.67,49.63,31,0,0
35 - 39,NRW,VF CABLEMAX,49.96,44.2,28,0,1
25 - 29,NRW,RED INTERNET & PHONE CABLE U,14.78,34.11,30,0,1
25 - 29,NRW,VF CABLEMAX,51.49,45.19,32,0,1
80 and over,NRW,VF RIP U-TREUE,29.73,24.55,31,0,0
50 - 54,NRW,VF CABLEMAX,80.37,49.76,30,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,46.06,45.17,32,0,0
55 - 59,NRW,VF RIP U-TREUE,48.69,43.64,32,0,0
25 - 29,NRW,RED INTERNET & PHONE CABLE U,33.53,31.64,32,0,1
35 - 39,NRW,VF RIP U-TREUE,43.74,37.33,32,0,0
50 - 54,NRW,VF CABLEMAX,68.98,49.38,31,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,38.99,38.3,30,0,1
25 - 29,NRW,RED INTERNET & PHONE CABLE U,41.9,38.54,30,0,1
50 - 54,NRW,VF CABLEMAX,48.67,45.01,30,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,25.29,32.94,29,0,1
25 - 29,NRW,GIGAZUHAUSE KABEL,39.63,39.62,30,0,1
80 and over,NRW,VF RIP U-TREUE,35.84,26.7,30,0,0
25 - 29,NRW,RED INTERNET & PHONE CABLE U,40.1,40.19,30,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,35.79,39.99,30,0,0
35 - 39,NRW,GIGAZUHAUSE KABEL,31.69,30.28,27,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,41.71,40.6,33,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,37.03,28.37,31,0,1
55 - 59,NRW,VF RIP U-TREUE,32.13,38.18,31,0,0
80 and over,NRW,VF RIP U-TREUE,32.18,20.65,30,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,38.36,30.91,32,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,41.47,40.33,32,0,1
35 - 39,NRW,VF RIP U-TREUE,29.07,26.34,29,0,0
25 - 29,NRW,RED INTERNET & PHONE CABLE U,38.74,39.83,32,0,1
25 - 29,NRW,GIGAZUHAUSE KABEL,41.76,40.73,244,0,1
55 - 59,NRW,GIGAZUHAUSE KABEL,48.67,43.6,32,0,0
50 - 54,NRW,VF CABLEMAX,43.53,48.94,28,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,40.35,40.43,29,0,1
55 - 59,NRW,RED INTERNET & PHONE CABLE U,39.06,50.26,32,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,36.34,35.67,28,0,0
50 - 54,NRW,VF CABLEMAX,47.55,44.3,30,0,1
35 - 39,NRW,VF RIP U-TREUE,19.51,28.37,27,0,0
25 - 29,NRW,RED INTERNET & PHONE CABLE U,35.11,34.37,32,0,1
55 - 59,NRW,VF RIP U-TREUE,28.65,26.21,29,0,0
25 - 29,NRW,VF CABLEMAX,42.04,45.38,30,0,1
55 - 59,NRW,GIGAZUHAUSE KABEL,40.62,44.26,29,0,0
80 and over,NRW,VF RIP U-TREUE,33.54,27.49,32,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,39.92,34.2,29,0,1
35 - 39,NRW,VF RIP U-TREUE,23.54,28.76,30,0,0
55 - 59,NRW,GIGAZUHAUSE KABEL,45.81,39.21,29,0,0
55 - 59,NRW,RED INTERNET & PHONE CABLE U,40.59,39.87,31,0,0
25 - 29,NRW,VF CABLEMAX,43.63,45.12,32,0,1
35 - 39,NRW,VF CABLEMAX,51.36,44.48,32,0,1
55 - 59,NRW,RED INTERNET & PHONE CABLE U,48.21,49.36,27,0,0
50 - 54,NRW,VF CABLEMAX,72.23,49.01,30,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,33.58,28.35,31,0,1
50 - 54,NRW,VF CABLEMAX,49.22,49.12,31,0,1
35 - 39,NRW,VF RIP U-TREUE,23.68,27.4,32,0,0
50 - 54,NRW,VF CABLEMAX,86.04,45.05,31,0,1
25 - 29,NRW,RED INTERNET & PHONE CABLE U,45.34,44.84,29,0,1
35 - 39,NRW,VF RIP U-TREUE,34.15,27.67,28,0,1
50 - 54,NRW,VF CABLEMAX,46.41,49.04,30,0,1
80 and over,NRW,VF RIP U-TREUE,35.11,25.13,31,0,0
50 - 54,NRW,VF CABLEMAX,84.56,49.21,31,0,0
